provider,doses,filed_date,report_date
Public Health,1034153,2022-11-26,2022-12-01
Tribal Health Sites,113023,2022-11-26,2022-12-01
Pharmacy,4498866,2022-11-26,2022-12-01
Primary Care,3637283,2022-11-19,2022-11-24
Community Vaccinator,1159470,2022-11-19,2022-11-24
Pharmacy,4477045,2022-11-19,2022-11-24
Specialty,298358,2022-11-19,2022-11-24
Tribal Health Sites,112622,2022-11-19,2022-11-24
Public Health,1032123,2022-11-19,2022-11-24
Hospital,551138,2022-11-19,2022-11-24
Other,331937,2022-11-19,2022-11-24
Pharmacy,4440996,2022-11-12,2022-11-17
Public Health,1030008,2022-11-12,2022-11-17
Hospital,550791,2022-11-12,2022-11-17
Community Vaccinator,1157143,2022-11-12,2022-11-17
Other,329202,2022-11-12,2022-11-17
Tribal Health Sites,112142,2022-11-12,2022-11-17
Primary Care,3600818,2022-11-12,2022-11-17
Specialty,297342,2022-11-12,2022-11-17
Public Health,1027180,2022-11-05,2022-11-10
Tribal Health Sites,111779,2022-11-05,2022-11-10
Specialty,296227,2022-11-05,2022-11-10
Primary Care,3561723,2022-11-05,2022-11-10
Hospital,550193,2022-11-05,2022-11-10
Pharmacy,4397665,2022-11-05,2022-11-10
Community Vaccinator,1154238,2022-11-05,2022-11-10
Other,325879,2022-11-05,2022-11-10
Community Vaccinator,1151776,2022-10-29,2022-11-03
Pharmacy,4349259,2022-10-29,2022-11-03
Tribal Health Sites,111226,2022-10-29,2022-11-03
Specialty,294889,2022-10-29,2022-11-03
Primary Care,3520151,2022-10-29,2022-11-03
Hospital,549519,2022-10-29,2022-11-03
Other,319543,2022-10-29,2022-11-03
Public Health,1023191,2022-10-29,2022-11-03
Other,312210,2022-10-22,2022-10-27
Public Health,1019197,2022-10-22,2022-10-27
Specialty,293491,2022-10-22,2022-10-27
Pharmacy,4293063,2022-10-22,2022-10-27
Tribal Health Sites,110446,2022-10-22,2022-10-27
Hospital,548582,2022-10-22,2022-10-27
Primary Care,3471296,2022-10-22,2022-10-27
Community Vaccinator,1148146,2022-10-22,2022-10-27
Tribal Health Sites,109768,2022-10-15,2022-10-20
Pharmacy,4225063,2022-10-15,2022-10-20
Public Health,1017277,2022-10-15,2022-10-20
Other,304374,2022-10-15,2022-10-20
Specialty,299518,2022-10-15,2022-10-20
Hospital,547348,2022-10-15,2022-10-20
Primary Care,3417655,2022-10-15,2022-10-20
Community Vaccinator,1144339,2022-10-15,2022-10-20
Primary Care,3370118,2022-10-08,2022-10-13
Community Vaccinator,1141519,2022-10-08,2022-10-13
Pharmacy,4167711,2022-10-08,2022-10-13
Tribal Health Sites,108875,2022-10-08,2022-10-13
Public Health,1014824,2022-10-08,2022-10-13
Other,299577,2022-10-08,2022-10-13
Hospital,546378,2022-10-08,2022-10-13
Specialty,298207,2022-10-08,2022-10-13
Specialty,296850,2022-10-01,2022-10-06
Community Vaccinator,1138721,2022-10-01,2022-10-06
Other,295703,2022-10-01,2022-10-06
Tribal Health Sites,108099,2022-10-01,2022-10-06
Primary Care,3324416,2022-10-01,2022-10-06
Pharmacy,4104005,2022-10-01,2022-10-06
Hospital,545197,2022-10-01,2022-10-06
Public Health,1011439,2022-10-01,2022-10-06
Community Vaccinator,1135731,2022-09-24,2022-09-29
Other,343067,2022-09-24,2022-09-29
Hospital,546518,2022-09-24,2022-09-29
Pharmacy,4046311,2022-09-24,2022-09-29
Public Health,955154,2022-09-24,2022-09-29
Tribal Health Sites,107537,2022-09-24,2022-09-29
Primary Care,3283305,2022-09-24,2022-09-29
Specialty,295606,2022-09-24,2022-09-29
Pharmacy,4003110,2022-09-20,2022-09-22
Primary Care,3260171,2022-09-20,2022-09-22
Hospital,546272,2022-09-20,2022-09-22
Tribal Health Sites,106872,2022-09-20,2022-09-22
Public Health,953487,2022-09-20,2022-09-22
Other,341648,2022-09-20,2022-09-22
Community Vaccinator,1132450,2022-09-20,2022-09-22
Specialty,294957,2022-09-20,2022-09-22
Community Vaccinator,1126815,2022-09-13,2022-09-15
Primary Care,3230848,2022-09-13,2022-09-15
Public Health,951534,2022-09-13,2022-09-15
Pharmacy,3953540,2022-09-13,2022-09-15
Hospital,545867,2022-09-13,2022-09-15
Other,340321,2022-09-13,2022-09-15
Specialty,294150,2022-09-13,2022-09-15
Tribal Health Sites,106510,2022-09-13,2022-09-15
Primary Care,3221467,2022-09-06,2022-09-08
Pharmacy,3916908,2022-09-06,2022-09-08
Public Health,951049,2022-09-06,2022-09-08
Specialty,293833,2022-09-06,2022-09-08
Hospital,545827,2022-09-06,2022-09-08
Other,339464,2022-09-06,2022-09-08
Community Vaccinator,1121760,2022-09-06,2022-09-08
Tribal Health Sites,106473,2022-09-06,2022-09-08
Pharmacy,3915905,2022-08-30,2022-09-01
Primary Care,3212842,2022-08-30,2022-09-01
Hospital,545749,2022-08-30,2022-09-01
Tribal Health Sites,106417,2022-08-30,2022-09-01
Public Health,950611,2022-08-30,2022-09-01
Other,339011,2022-08-30,2022-09-01
Community Vaccinator,1121463,2022-08-30,2022-09-01
Specialty,293590,2022-08-30,2022-09-01
Pharmacy,3911708,2022-08-23,2022-08-25
Primary Care,3198322,2022-08-23,2022-08-25
Hospital,545733,2022-08-23,2022-08-25
Tribal Health Sites,106204,2022-08-23,2022-08-25
Public Health,950153,2022-08-23,2022-08-25
Other,338281,2022-08-23,2022-08-25
Community Vaccinator,1120850,2022-08-23,2022-08-25
Specialty,293344,2022-08-23,2022-08-25
Public Health,949695,2022-08-17,2022-08-19
Specialty,293009,2022-08-17,2022-08-19
Other,337638,2022-08-17,2022-08-19
Pharmacy,3906497,2022-08-17,2022-08-19
Hospital,545466,2022-08-17,2022-08-19
Primary Care,3186148,2022-08-17,2022-08-19
Tribal Health Sites,106048,2022-08-17,2022-08-19
Community Vaccinator,1120057,2022-08-17,2022-08-19
Pharmacy,3905153,2022-08-16,2022-08-18
Primary Care,3182921,2022-08-16,2022-08-18
Hospital,545382,2022-08-16,2022-08-18
Other,337429,2022-08-16,2022-08-18
Specialty,292904,2022-08-16,2022-08-18
Community Vaccinator,1119668,2022-08-16,2022-08-18
Public Health,949561,2022-08-16,2022-08-18
Tribal Health Sites,105994,2022-08-16,2022-08-18
Pharmacy,3896594,2022-08-09,2022-08-11
Primary Care,3164880,2022-08-09,2022-08-11
Hospital,545146,2022-08-09,2022-08-11
Tribal Health Sites,105729,2022-08-09,2022-08-11
Public Health,948958,2022-08-09,2022-08-11
Other,336565,2022-08-09,2022-08-11
Community Vaccinator,1118902,2022-08-09,2022-08-11
Specialty,292486,2022-08-09,2022-08-11
Primary Care,3143231,2022-08-01,2022-08-03
Pharmacy,3887942,2022-08-01,2022-08-03
Public Health,947911,2022-08-01,2022-08-03
Community Vaccinator,1118207,2022-08-01,2022-08-03
Hospital,544838,2022-08-01,2022-08-03
Specialty,291925,2022-08-01,2022-08-03
Tribal Health Sites,105551,2022-08-01,2022-08-03
Other,335453,2022-08-01,2022-08-03
Tribal Health Sites,105325,2022-07-26,2022-07-28
Primary Care,3124842,2022-07-26,2022-07-28
Pharmacy,3878878,2022-07-26,2022-07-28
Public Health,947279,2022-07-26,2022-07-28
Hospital,544574,2022-07-26,2022-07-28
Specialty,291497,2022-07-26,2022-07-28
Community Vaccinator,1117162,2022-07-26,2022-07-28
Other,334706,2022-07-26,2022-07-28
Pharmacy,3863935,2022-07-19,2022-07-21
Primary Care,3103985,2022-07-19,2022-07-21
Hospital,544321,2022-07-19,2022-07-21
Tribal Health Sites,105000,2022-07-19,2022-07-21
Public Health,946451,2022-07-19,2022-07-21
Other,333415,2022-07-19,2022-07-21
Community Vaccinator,1115788,2022-07-19,2022-07-21
Specialty,291011,2022-07-19,2022-07-21
Pharmacy,3846140,2022-07-12,2022-07-14
Public Health,945463,2022-07-12,2022-07-14
Hospital,543935,2022-07-12,2022-07-14
Primary Care,3083070,2022-07-12,2022-07-14
Community Vaccinator,1114506,2022-07-12,2022-07-14
Tribal Health Sites,104692,2022-07-12,2022-07-14
Other,331928,2022-07-12,2022-07-14
Specialty,290447,2022-07-12,2022-07-14
Pharmacy,3835959,2022-07-05,2022-07-07
Primary Care,3064871,2022-07-05,2022-07-07
Hospital,543674,2022-07-05,2022-07-07
Tribal Health Sites,104439,2022-07-05,2022-07-07
Public Health,944942,2022-07-05,2022-07-07
Other,330249,2022-07-05,2022-07-07
Community Vaccinator,1113912,2022-07-05,2022-07-07
Specialty,289954,2022-07-05,2022-07-07
Pharmacy,3830582,2022-06-29,2022-07-01
Primary Care,3055337,2022-06-29,2022-07-01
Hospital,543569,2022-06-29,2022-07-01
Tribal Health Sites,104261,2022-06-29,2022-07-01
Public Health,944606,2022-06-29,2022-07-01
Other,329617,2022-06-29,2022-07-01
Community Vaccinator,1113068,2022-06-29,2022-07-01
Specialty,289785,2022-06-29,2022-07-01
Community Vaccinator,1112303,2022-06-27,2022-06-29
Primary Care,3047546,2022-06-27,2022-06-29
Pharmacy,3826791,2022-06-27,2022-06-29
Public Health,943926,2022-06-27,2022-06-29
Hospital,543337,2022-06-27,2022-06-29
Specialty,289543,2022-06-27,2022-06-29
Other,329295,2022-06-27,2022-06-29
Tribal Health Sites,104108,2022-06-27,2022-06-29
Pharmacy,3825714,2022-06-26,2022-06-28
Primary Care,3043915,2022-06-26,2022-06-28
Hospital,543263,2022-06-26,2022-06-28
Other,329123,2022-06-26,2022-06-28
Specialty,289450,2022-06-26,2022-06-28
Community Vaccinator,1112107,2022-06-26,2022-06-28
Tribal Health Sites,104096,2022-06-26,2022-06-28
Public Health,943854,2022-06-26,2022-06-28
Pharmacy,3822131,2022-06-23,2022-06-27
Primary Care,3041140,2022-06-23,2022-06-27
Hospital,543319,2022-06-23,2022-06-27
Tribal Health Sites,104004,2022-06-23,2022-06-27
Public Health,943777,2022-06-23,2022-06-27
Other,328737,2022-06-23,2022-06-27
Community Vaccinator,1110934,2022-06-23,2022-06-27
Specialty,289472,2022-06-23,2022-06-27
Pharmacy,3820365,2022-06-22,2022-06-24
Primary Care,3037903,2022-06-22,2022-06-24
Hospital,543230,2022-06-22,2022-06-24
Tribal Health Sites,103959,2022-06-22,2022-06-24
Public Health,943417,2022-06-22,2022-06-24
Other,328523,2022-06-22,2022-06-24
Community Vaccinator,1110331,2022-06-22,2022-06-24
Specialty,289363,2022-06-22,2022-06-24
Pharmacy,3818071,2022-06-21,2022-06-23
Primary Care,3034379,2022-06-21,2022-06-23
Hospital,543132,2022-06-21,2022-06-23
Tribal Health Sites,103896,2022-06-21,2022-06-23
Public Health,943248,2022-06-21,2022-06-23
Other,328400,2022-06-21,2022-06-23
Community Vaccinator,1109834,2022-06-21,2022-06-23
Specialty,289211,2022-06-21,2022-06-23
Primary Care,3030883,2022-06-20,2022-06-22
Pharmacy,3815632,2022-06-20,2022-06-22
Public Health,943104,2022-06-20,2022-06-22
Specialty,289108,2022-06-20,2022-06-22
Hospital,543037,2022-06-20,2022-06-22
Other,328257,2022-06-20,2022-06-22
Community Vaccinator,1109712,2022-06-20,2022-06-22
Tribal Health Sites,103875,2022-06-20,2022-06-22
Community Vaccinator,1109326,2022-06-16,2022-06-21
Primary Care,3024981,2022-06-16,2022-06-21
Pharmacy,3810659,2022-06-16,2022-06-21
Public Health,943101,2022-06-16,2022-06-21
Hospital,542900,2022-06-16,2022-06-21
Specialty,289039,2022-06-16,2022-06-21
Other,328101,2022-06-16,2022-06-21
Tribal Health Sites,103827,2022-06-16,2022-06-21
Pharmacy,3808153,2022-06-15,2022-06-17
Primary Care,3021369,2022-06-15,2022-06-17
Hospital,542789,2022-06-15,2022-06-17
Tribal Health Sites,103799,2022-06-15,2022-06-17
Public Health,942863,2022-06-15,2022-06-17
Other,327942,2022-06-15,2022-06-17
Community Vaccinator,1109174,2022-06-15,2022-06-17
Specialty,288932,2022-06-15,2022-06-17
Community Vaccinator,1109046,2022-06-14,2022-06-16
Primary Care,3017690,2022-06-14,2022-06-16
Public Health,942712,2022-06-14,2022-06-16
Pharmacy,3805531,2022-06-14,2022-06-16
Hospital,542687,2022-06-14,2022-06-16
Other,327647,2022-06-14,2022-06-16
Specialty,288791,2022-06-14,2022-06-16
Tribal Health Sites,103737,2022-06-14,2022-06-16
Pharmacy,3802947,2022-06-13,2022-06-15
Primary Care,3014008,2022-06-13,2022-06-15
Hospital,542529,2022-06-13,2022-06-15
Tribal Health Sites,103671,2022-06-13,2022-06-15
Public Health,942370,2022-06-13,2022-06-15
Other,327541,2022-06-13,2022-06-15
Community Vaccinator,1108895,2022-06-13,2022-06-15
Specialty,288642,2022-06-13,2022-06-15
Pharmacy,3801374,2022-06-12,2022-06-14
Primary Care,3010289,2022-06-12,2022-06-14
Hospital,542428,2022-06-12,2022-06-14
Tribal Health Sites,103624,2022-06-12,2022-06-14
Public Health,942150,2022-06-12,2022-06-14
Other,327421,2022-06-12,2022-06-14
Community Vaccinator,1108791,2022-06-12,2022-06-14
Specialty,288539,2022-06-12,2022-06-14
Primary Care,3007126,2022-06-09,2022-06-13
Community Vaccinator,1108602,2022-06-09,2022-06-13
Pharmacy,3796458,2022-06-09,2022-06-13
Public Health,942103,2022-06-09,2022-06-13
Hospital,542452,2022-06-09,2022-06-13
Specialty,288568,2022-06-09,2022-06-13
Other,327266,2022-06-09,2022-06-13
Tribal Health Sites,103555,2022-06-09,2022-06-13
Pharmacy,3793773,2022-06-08,2022-06-10
Primary Care,3003090,2022-06-08,2022-06-10
Hospital,542320,2022-06-08,2022-06-10
Other,327497,2022-06-08,2022-06-10
Specialty,288448,2022-06-08,2022-06-10
Community Vaccinator,1108532,2022-06-08,2022-06-10
Tribal Health Sites,103485,2022-06-08,2022-06-10
Public Health,941877,2022-06-08,2022-06-10
Primary Care,2994468,2022-06-06,2022-06-08
Pharmacy,3787720,2022-06-06,2022-06-08
Public Health,941292,2022-06-06,2022-06-08
Community Vaccinator,1108264,2022-06-06,2022-06-08
Hospital,542044,2022-06-06,2022-06-08
Specialty,288163,2022-06-06,2022-06-08
Tribal Health Sites,103351,2022-06-06,2022-06-08
Other,326995,2022-06-06,2022-06-08
Pharmacy,3778146,2022-06-02,2022-06-07
Primary Care,2986968,2022-06-02,2022-06-07
Hospital,541930,2022-06-02,2022-06-07
Tribal Health Sites,103284,2022-06-02,2022-06-07
Public Health,941074,2022-06-02,2022-06-07
Other,326676,2022-06-02,2022-06-07
Community Vaccinator,1107803,2022-06-02,2022-06-07
Specialty,288097,2022-06-02,2022-06-07
Pharmacy,3778146,2022-06-02,2022-06-06
Primary Care,2986968,2022-06-02,2022-06-06
Hospital,541930,2022-06-02,2022-06-06
Tribal Health Sites,103284,2022-06-02,2022-06-06
Public Health,941074,2022-06-02,2022-06-06
Other,326676,2022-06-02,2022-06-06
Community Vaccinator,1107803,2022-06-02,2022-06-06
Specialty,288097,2022-06-02,2022-06-06
Pharmacy,3774570,2022-06-01,2022-06-03
Primary Care,2982456,2022-06-01,2022-06-03
Hospital,541755,2022-06-01,2022-06-03
Tribal Health Sites,103248,2022-06-01,2022-06-03
Public Health,940846,2022-06-01,2022-06-03
Other,326431,2022-06-01,2022-06-03
Community Vaccinator,1107643,2022-06-01,2022-06-03
Specialty,287935,2022-06-01,2022-06-03
Pharmacy,3770880,2022-05-31,2022-06-02
Primary Care,2977976,2022-05-31,2022-06-02
Hospital,541586,2022-05-31,2022-06-02
Tribal Health Sites,103178,2022-05-31,2022-06-02
Public Health,940356,2022-05-31,2022-06-02
Other,326206,2022-05-31,2022-06-02
Community Vaccinator,1107506,2022-05-31,2022-06-02
Specialty,287774,2022-05-31,2022-06-02
Pharmacy,3769620,2022-05-30,2022-06-01
Primary Care,2973627,2022-05-30,2022-06-01
Hospital,541427,2022-05-30,2022-06-01
Tribal Health Sites,103152,2022-05-30,2022-06-01
Public Health,940161,2022-05-30,2022-06-01
Other,325974,2022-05-30,2022-06-01
Community Vaccinator,1107271,2022-05-30,2022-06-01
Specialty,287670,2022-05-30,2022-06-01
Pharmacy,3758950,2022-05-26,2022-05-31
Public Health,939844,2022-05-26,2022-05-31
Hospital,541395,2022-05-26,2022-05-31
Primary Care,2969771,2022-05-26,2022-05-31
Community Vaccinator,1106647,2022-05-26,2022-05-31
Tribal Health Sites,103061,2022-05-26,2022-05-31
Other,325755,2022-05-26,2022-05-31
Specialty,287693,2022-05-26,2022-05-31
Community Vaccinator,1106327,2022-05-25,2022-05-27
Primary Care,2964909,2022-05-25,2022-05-27
Pharmacy,3754685,2022-05-25,2022-05-27
Public Health,939628,2022-05-25,2022-05-27
Hospital,541273,2022-05-25,2022-05-27
Specialty,287537,2022-05-25,2022-05-27
Other,325452,2022-05-25,2022-05-27
Tribal Health Sites,102989,2022-05-25,2022-05-27
Public Health,939287,2022-05-24,2022-05-26
Specialty,287367,2022-05-24,2022-05-26
Other,325313,2022-05-24,2022-05-26
Pharmacy,3748421,2022-05-24,2022-05-26
Hospital,541114,2022-05-24,2022-05-26
Primary Care,2959588,2022-05-24,2022-05-26
Tribal Health Sites,102913,2022-05-24,2022-05-26
Community Vaccinator,1106055,2022-05-24,2022-05-26
Primary Care,2954375,2022-05-23,2022-05-25
Pharmacy,3742828,2022-05-23,2022-05-25
Public Health,938654,2022-05-23,2022-05-25
Specialty,287199,2022-05-23,2022-05-25
Hospital,540936,2022-05-23,2022-05-25
Other,324964,2022-05-23,2022-05-25
Community Vaccinator,1105796,2022-05-23,2022-05-25
Tribal Health Sites,102847,2022-05-23,2022-05-25
Pharmacy,3739447,2022-05-22,2022-05-24
Primary Care,2949207,2022-05-22,2022-05-24
Hospital,540821,2022-05-22,2022-05-24
Other,324355,2022-05-22,2022-05-24
Specialty,287100,2022-05-22,2022-05-24
Community Vaccinator,1105545,2022-05-22,2022-05-24
Tribal Health Sites,102806,2022-05-22,2022-05-24
Public Health,938582,2022-05-22,2022-05-24
Pharmacy,3728146,2022-05-19,2022-05-23
Primary Care,2945308,2022-05-19,2022-05-23
Hospital,540755,2022-05-19,2022-05-23
Tribal Health Sites,102696,2022-05-19,2022-05-23
Public Health,938463,2022-05-19,2022-05-23
Other,323744,2022-05-19,2022-05-23
Community Vaccinator,1105072,2022-05-19,2022-05-23
Specialty,287036,2022-05-19,2022-05-23
Public Health,938118,2022-05-18,2022-05-20
Other,323424,2022-05-18,2022-05-20
Pharmacy,3722549,2022-05-18,2022-05-20
Hospital,540652,2022-05-18,2022-05-20
Primary Care,2940489,2022-05-18,2022-05-20
Tribal Health Sites,102628,2022-05-18,2022-05-20
Community Vaccinator,1104641,2022-05-18,2022-05-20
Specialty,286804,2022-05-18,2022-05-20
Pharmacy,3717770,2022-05-17,2022-05-19
Primary Care,2935989,2022-05-17,2022-05-19
Hospital,540511,2022-05-17,2022-05-19
Tribal Health Sites,102526,2022-05-17,2022-05-19
Public Health,937929,2022-05-17,2022-05-19
Other,322917,2022-05-17,2022-05-19
Community Vaccinator,1104376,2022-05-17,2022-05-19
Specialty,286638,2022-05-17,2022-05-19
Primary Care,2931365,2022-05-16,2022-05-18
Pharmacy,3713775,2022-05-16,2022-05-18
Public Health,937554,2022-05-16,2022-05-18
Community Vaccinator,1104328,2022-05-16,2022-05-18
Hospital,540289,2022-05-16,2022-05-18
Specialty,286443,2022-05-16,2022-05-18
Tribal Health Sites,102451,2022-05-16,2022-05-18
Other,322740,2022-05-16,2022-05-18
Pharmacy,3711453,2022-05-15,2022-05-17
Primary Care,2926728,2022-05-15,2022-05-17
Hospital,540159,2022-05-15,2022-05-17
Tribal Health Sites,102411,2022-05-15,2022-05-17
Public Health,937440,2022-05-15,2022-05-17
Other,322485,2022-05-15,2022-05-17
Community Vaccinator,1104171,2022-05-15,2022-05-17
Specialty,286303,2022-05-15,2022-05-17
Community Vaccinator,1103993,2022-05-12,2022-05-16
Primary Care,2923090,2022-05-12,2022-05-16
Pharmacy,3702273,2022-05-12,2022-05-16
Public Health,937416,2022-05-12,2022-05-16
Hospital,540132,2022-05-12,2022-05-16
Specialty,286285,2022-05-12,2022-05-16
Other,322321,2022-05-12,2022-05-16
Tribal Health Sites,102314,2022-05-12,2022-05-16
Primary Care,2918538,2022-05-11,2022-05-13
Community Vaccinator,1103886,2022-05-11,2022-05-13
Public Health,937123,2022-05-11,2022-05-13
Pharmacy,3697127,2022-05-11,2022-05-13
Hospital,539912,2022-05-11,2022-05-13
Specialty,286072,2022-05-11,2022-05-13
Other,321907,2022-05-11,2022-05-13
Tribal Health Sites,102242,2022-05-11,2022-05-13
Community Vaccinator,1103779,2022-05-10,2022-05-12
Primary Care,2913607,2022-05-10,2022-05-12
Pharmacy,3692188,2022-05-10,2022-05-12
Public Health,936626,2022-05-10,2022-05-12
Hospital,539707,2022-05-10,2022-05-12
Specialty,285909,2022-05-10,2022-05-12
Other,321737,2022-05-10,2022-05-12
Tribal Health Sites,102155,2022-05-10,2022-05-12
Pharmacy,3687083,2022-05-09,2022-05-11
Primary Care,2908592,2022-05-09,2022-05-11
Hospital,539540,2022-05-09,2022-05-11
Tribal Health Sites,102018,2022-05-09,2022-05-11
Public Health,936366,2022-05-09,2022-05-11
Other,321418,2022-05-09,2022-05-11
Community Vaccinator,1103723,2022-05-09,2022-05-11
Specialty,285748,2022-05-09,2022-05-11
Primary Care,2903656,2022-05-08,2022-05-10
Hospital,539421,2022-05-08,2022-05-10
Pharmacy,3684544,2022-05-08,2022-05-10
Other,321068,2022-05-08,2022-05-10
Specialty,285652,2022-05-08,2022-05-10
Community Vaccinator,1103603,2022-05-08,2022-05-10
Tribal Health Sites,101983,2022-05-08,2022-05-10
Public Health,936303,2022-05-08,2022-05-10
Pharmacy,3673835,2022-05-05,2022-05-09
Primary Care,2900017,2022-05-05,2022-05-09
Hospital,539339,2022-05-05,2022-05-09
Tribal Health Sites,101876,2022-05-05,2022-05-09
Public Health,936250,2022-05-05,2022-05-09
Other,320909,2022-05-05,2022-05-09
Community Vaccinator,1103436,2022-05-05,2022-05-09
Specialty,285660,2022-05-05,2022-05-09
Primary Care,2895221,2022-05-04,2022-05-06
Community Vaccinator,1103363,2022-05-04,2022-05-06
Public Health,935996,2022-05-04,2022-05-06
Pharmacy,3667943,2022-05-04,2022-05-06
Hospital,539227,2022-05-04,2022-05-06
Specialty,285507,2022-05-04,2022-05-06
Other,320633,2022-05-04,2022-05-06
Tribal Health Sites,101829,2022-05-04,2022-05-06
Pharmacy,3662713,2022-05-03,2022-05-05
Primary Care,2890389,2022-05-03,2022-05-05
Hospital,539048,2022-05-03,2022-05-05
Tribal Health Sites,101737,2022-05-03,2022-05-05
Public Health,935764,2022-05-03,2022-05-05
Other,320199,2022-05-03,2022-05-05
Community Vaccinator,1103194,2022-05-03,2022-05-05
Specialty,285334,2022-05-03,2022-05-05
Pharmacy,3658340,2022-05-02,2022-05-04
Primary Care,2885288,2022-05-02,2022-05-04
Hospital,538855,2022-05-02,2022-05-04
Tribal Health Sites,101630,2022-05-02,2022-05-04
Public Health,935313,2022-05-02,2022-05-04
Other,320038,2022-05-02,2022-05-04
Community Vaccinator,1103156,2022-05-02,2022-05-04
Specialty,285147,2022-05-02,2022-05-04
Pharmacy,3655464,2022-05-01,2022-05-03
Primary Care,2880215,2022-05-01,2022-05-03
Hospital,538722,2022-05-01,2022-05-03
Tribal Health Sites,101602,2022-05-01,2022-05-03
Public Health,935269,2022-05-01,2022-05-03
Other,319694,2022-05-01,2022-05-03
Community Vaccinator,1103063,2022-05-01,2022-05-03
Specialty,285010,2022-05-01,2022-05-03
Pharmacy,3643707,2022-04-28,2022-05-02
Primary Care,2873884,2022-04-28,2022-05-02
Hospital,538589,2022-04-28,2022-05-02
Tribal Health Sites,101364,2022-04-28,2022-05-02
Public Health,934933,2022-04-28,2022-05-02
Other,319307,2022-04-28,2022-05-02
Community Vaccinator,1102819,2022-04-28,2022-05-02
Specialty,287365,2022-04-28,2022-05-02
Pharmacy,3639367,2022-04-27,2022-04-29
Primary Care,2869067,2022-04-27,2022-04-29
Hospital,538447,2022-04-27,2022-04-29
Tribal Health Sites,101241,2022-04-27,2022-04-29
Public Health,934613,2022-04-27,2022-04-29
Other,319043,2022-04-27,2022-04-29
Community Vaccinator,1102663,2022-04-27,2022-04-29
Specialty,287166,2022-04-27,2022-04-29
Pharmacy,3633638,2022-04-26,2022-04-28
Primary Care,2864338,2022-04-26,2022-04-28
Hospital,538220,2022-04-26,2022-04-28
Tribal Health Sites,101142,2022-04-26,2022-04-28
Public Health,933862,2022-04-26,2022-04-28
Other,318755,2022-04-26,2022-04-28
