category,doses,filed_date,report_date
Total Johnson & Johnson doses administered,342786,2022-08-16,2022-08-18
Total Unknown/missing vaccine type,3859,2022-08-16,2022-08-18
Total vaccine doses administered,10409260,2022-08-09,2022-08-11
Total Pfizer doses administered,6319069,2022-08-09,2022-08-11
Total Moderna doses administered,3743422,2022-08-09,2022-08-11
Total Johnson & Johnson doses administered,342712,2022-08-09,2022-08-11
Total Unknown/missing vaccine type,3804,2022-08-09,2022-08-11
Total vaccine doses administered,10375058,2022-08-01,2022-08-03
Total Pfizer doses administered,6295407,2022-08-01,2022-08-03
Total Moderna doses administered,3733093,2022-08-01,2022-08-03
Total Johnson & Johnson doses administered,342600,2022-08-01,2022-08-03
Total Unknown/missing vaccine type,3958,2022-08-01,2022-08-03
Total vaccine doses administered,10344263,2022-07-26,2022-07-28
Total Pfizer doses administered,6273921,2022-07-26,2022-07-28
Total Moderna doses administered,3723892,2022-07-26,2022-07-28
Total Johnson & Johnson doses administered,342536,2022-07-26,2022-07-28
Total Unknown/missing vaccine type,3914,2022-07-26,2022-07-28
Total vaccine doses administered,10303906,2022-07-19,2022-07-21
Total Pfizer doses administered,6247117,2022-07-19,2022-07-21
Total Moderna doses administered,3710493,2022-07-19,2022-07-21
Total Johnson & Johnson doses administered,342448,2022-07-19,2022-07-21
Total Unknown/missing vaccine type,3848,2022-07-19,2022-07-21
Total vaccine doses administered,10260181,2022-07-12,2022-07-14
Total Pfizer doses administered,6218404,2022-07-12,2022-07-14
Total Moderna doses administered,3695640,2022-07-12,2022-07-14
Total Johnson & Johnson doses administered,342328,2022-07-12,2022-07-14
Total Unknown/missing vaccine type,3809,2022-07-12,2022-07-14
Total vaccine doses administered,10228000,2022-07-05,2022-07-07
Total Pfizer doses administered,6196341,2022-07-05,2022-07-07
Total Moderna doses administered,3685657,2022-07-05,2022-07-07
Total Johnson & Johnson doses administered,342239,2022-07-05,2022-07-07
Total Unknown/missing vaccine type,3763,2022-07-05,2022-07-07
Total vaccine doses administered,10210825,2022-06-29,2022-07-01
Total Pfizer doses administered,6184498,2022-06-29,2022-07-01
Total Moderna doses administered,3680343,2022-06-29,2022-07-01
Total Johnson & Johnson doses administered,342249,2022-06-29,2022-07-01
Total Unknown/missing vaccine type,3735,2022-06-29,2022-07-01
Total vaccine doses administered,10196849,2022-06-27,2022-06-29
Total Pfizer doses administered,6175297,2022-06-27,2022-06-29
Total Moderna doses administered,3675643,2022-06-27,2022-06-29
Total Johnson & Johnson doses administered,342200,2022-06-27,2022-06-29
Total Unknown/missing vaccine type,3709,2022-06-27,2022-06-29
Total vaccine doses administered,10191522,2022-06-26,2022-06-28
Total Pfizer doses administered,6171664,2022-06-26,2022-06-28
Total Moderna doses administered,3674006,2022-06-26,2022-06-28
Total Johnson & Johnson doses administered,342167,2022-06-26,2022-06-28
Total Unknown/missing vaccine type,3685,2022-06-26,2022-06-28
Total vaccine doses administered,10183514,2022-06-23,2022-06-27
Total Pfizer doses administered,6165886,2022-06-23,2022-06-27
Total Moderna doses administered,3671791,2022-06-23,2022-06-27
Total Johnson & Johnson doses administered,342165,2022-06-23,2022-06-27
Total Unknown/missing vaccine type,3672,2022-06-23,2022-06-27
Total vaccine doses administered,10177091,2022-06-22,2022-06-24
Total Pfizer doses administered,6161525,2022-06-22,2022-06-24
Total Moderna doses administered,3669747,2022-06-22,2022-06-24
Total Johnson & Johnson doses administered,342148,2022-06-22,2022-06-24
Total Unknown/missing vaccine type,3671,2022-06-22,2022-06-24
Total vaccine doses administered,10170171,2022-06-21,2022-06-23
Total Pfizer doses administered,6157128,2022-06-21,2022-06-23
Total Moderna doses administered,3667265,2022-06-21,2022-06-23
Total Johnson & Johnson doses administered,342119,2022-06-21,2022-06-23
Total Unknown/missing vaccine type,3659,2022-06-21,2022-06-23
Total vaccine doses administered,10163608,2022-06-20,2022-06-22
Total Pfizer doses administered,6152833,2022-06-20,2022-06-22
Total Moderna doses administered,3664887,2022-06-20,2022-06-22
Total Johnson & Johnson doses administered,342091,2022-06-20,2022-06-22
Total Unknown/missing vaccine type,3797,2022-06-20,2022-06-22
Total vaccine doses administered,10151934,2022-06-16,2022-06-21
Total Pfizer doses administered,6145046,2022-06-16,2022-06-21
Total Moderna doses administered,3661031,2022-06-16,2022-06-21
Total Johnson & Johnson doses administered,342082,2022-06-16,2022-06-21
Total Unknown/missing vaccine type,3775,2022-06-16,2022-06-21
Total vaccine doses administered,10145021,2022-06-15,2022-06-17
Total Pfizer doses administered,6140545,2022-06-15,2022-06-17
Total Moderna doses administered,3658658,2022-06-15,2022-06-17
Total Johnson & Johnson doses administered,342057,2022-06-15,2022-06-17
Total Unknown/missing vaccine type,3761,2022-06-15,2022-06-17
Total vaccine doses administered,10137841,2022-06-14,2022-06-16
Total Pfizer doses administered,6135819,2022-06-14,2022-06-16
Total Moderna doses administered,3656271,2022-06-14,2022-06-16
Total Johnson & Johnson doses administered,342017,2022-06-14,2022-06-16
Total Unknown/missing vaccine type,3734,2022-06-14,2022-06-16
Total vaccine doses administered,10130603,2022-06-13,2022-06-15
Total Pfizer doses administered,6131057,2022-06-13,2022-06-15
Total Moderna doses administered,3653843,2022-06-13,2022-06-15
Total Johnson & Johnson doses administered,341982,2022-06-13,2022-06-15
Total Unknown/missing vaccine type,3721,2022-06-13,2022-06-15
Total vaccine doses administered,10124616,2022-06-12,2022-06-14
Total Pfizer doses administered,6126904,2022-06-12,2022-06-14
Total Moderna doses administered,3652042,2022-06-12,2022-06-14
Total Johnson & Johnson doses administered,341968,2022-06-12,2022-06-14
Total Unknown/missing vaccine type,3702,2022-06-12,2022-06-14
Total vaccine doses administered,10116130,2022-06-09,2022-06-13
Total Pfizer doses administered,6121162,2022-06-09,2022-06-13
Total Moderna doses administered,3649311,2022-06-09,2022-06-13
Total Johnson & Johnson doses administered,341970,2022-06-09,2022-06-13
Total Unknown/missing vaccine type,3687,2022-06-09,2022-06-13
Total vaccine doses administered,10109022,2022-06-08,2022-06-10
Total Pfizer doses administered,6116697,2022-06-08,2022-06-10
Total Moderna doses administered,3646716,2022-06-08,2022-06-10
Total Johnson & Johnson doses administered,341937,2022-06-08,2022-06-10
Total Unknown/missing vaccine type,3672,2022-06-08,2022-06-10
Total vaccine doses administered,10092297,2022-06-06,2022-06-08
Total Pfizer doses administered,6106019,2022-06-06,2022-06-08
Total Moderna doses administered,3640758,2022-06-06,2022-06-08
Total Johnson & Johnson doses administered,341867,2022-06-06,2022-06-08
Total Unknown/missing vaccine type,3653,2022-06-06,2022-06-08
Total vaccine doses administered,10073978,2022-06-02,2022-06-07
Total Pfizer doses administered,6094080,2022-06-02,2022-06-07
Total Moderna doses administered,3634425,2022-06-02,2022-06-07
Total Johnson & Johnson doses administered,341844,2022-06-02,2022-06-07
Total Unknown/missing vaccine type,3629,2022-06-02,2022-06-07
Total vaccine doses administered,10073978,2022-06-02,2022-06-06
Total Pfizer doses administered,6094080,2022-06-02,2022-06-06
Total Moderna doses administered,3634425,2022-06-02,2022-06-06
Total Johnson & Johnson doses administered,341844,2022-06-02,2022-06-06
Total Unknown/missing vaccine type,3629,2022-06-02,2022-06-06
Total vaccine doses administered,10064884,2022-06-01,2022-06-03
Total Pfizer doses administered,6088355,2022-06-01,2022-06-03
Total Moderna doses administered,3631100,2022-06-01,2022-06-03
Total Johnson & Johnson doses administered,341814,2022-06-01,2022-06-03
Total Unknown/missing vaccine type,3615,2022-06-01,2022-06-03
Total vaccine doses administered,10055462,2022-05-31,2022-06-02
Total Pfizer doses administered,6082475,2022-05-31,2022-06-02
Total Moderna doses administered,3627602,2022-05-31,2022-06-02
Total Johnson & Johnson doses administered,341775,2022-05-31,2022-06-02
Total Unknown/missing vaccine type,3610,2022-05-31,2022-06-02
Total vaccine doses administered,10048902,2022-05-30,2022-06-01
Total Pfizer doses administered,6078045,2022-05-30,2022-06-01
Total Moderna doses administered,3625509,2022-05-30,2022-06-01
Total Johnson & Johnson doses administered,341753,2022-05-30,2022-06-01
Total Unknown/missing vaccine type,3595,2022-05-30,2022-06-01
Total vaccine doses administered,10033116,2022-05-26,2022-05-31
Total Pfizer doses administered,6068279,2022-05-26,2022-05-31
Total Moderna doses administered,3619524,2022-05-26,2022-05-31
Total Johnson & Johnson doses administered,341734,2022-05-26,2022-05-31
Total Unknown/missing vaccine type,3579,2022-05-26,2022-05-31
Total vaccine doses administered,10022800,2022-05-25,2022-05-27
Total Pfizer doses administered,6061854,2022-05-25,2022-05-27
Total Moderna doses administered,3615682,2022-05-25,2022-05-27
Total Johnson & Johnson doses administered,341707,2022-05-25,2022-05-27
Total Unknown/missing vaccine type,3557,2022-05-25,2022-05-27
Total vaccine doses administered,10010058,2022-05-24,2022-05-26
Total Pfizer doses administered,6053810,2022-05-24,2022-05-26
Total Moderna doses administered,3611030,2022-05-24,2022-05-26
Total Johnson & Johnson doses administered,341661,2022-05-24,2022-05-26
Total Unknown/missing vaccine type,3557,2022-05-24,2022-05-26
Total vaccine doses administered,9997599,2022-05-23,2022-05-25
Total Pfizer doses administered,6046086,2022-05-23,2022-05-25
Total Moderna doses administered,3606353,2022-05-23,2022-05-25
Total Johnson & Johnson doses administered,341624,2022-05-23,2022-05-25
Total Unknown/missing vaccine type,3536,2022-05-23,2022-05-25
Total vaccine doses administered,9987863,2022-05-22,2022-05-24
Total Pfizer doses administered,6039701,2022-05-22,2022-05-24
Total Moderna doses administered,3603048,2022-05-22,2022-05-24
Total Johnson & Johnson doses administered,341590,2022-05-22,2022-05-24
Total Unknown/missing vaccine type,3524,2022-05-22,2022-05-24
Total vaccine doses administered,9971220,2022-05-19,2022-05-23
Total Pfizer doses administered,6029706,2022-05-19,2022-05-23
Total Moderna doses administered,3596423,2022-05-19,2022-05-23
Total Johnson & Johnson doses administered,341584,2022-05-19,2022-05-23
Total Unknown/missing vaccine type,3507,2022-05-19,2022-05-23
Total vaccine doses administered,9959305,2022-05-18,2022-05-20
Total Pfizer doses administered,6022498,2022-05-18,2022-05-20
Total Moderna doses administered,3591775,2022-05-18,2022-05-20
Total Johnson & Johnson doses administered,341530,2022-05-18,2022-05-20
Total Unknown/missing vaccine type,3502,2022-05-18,2022-05-20
Total vaccine doses administered,9948656,2022-05-17,2022-05-19
Total Pfizer doses administered,6016087,2022-05-17,2022-05-19
Total Moderna doses administered,3587599,2022-05-17,2022-05-19
Total Johnson & Johnson doses administered,341479,2022-05-17,2022-05-19
Total Unknown/missing vaccine type,3491,2022-05-17,2022-05-19
Total vaccine doses administered,9938945,2022-05-16,2022-05-18
Total Pfizer doses administered,6010343,2022-05-16,2022-05-18
Total Moderna doses administered,3583683,2022-05-16,2022-05-18
Total Johnson & Johnson doses administered,341440,2022-05-16,2022-05-18
Total Unknown/missing vaccine type,3479,2022-05-16,2022-05-18
Total vaccine doses administered,9931150,2022-05-15,2022-05-17
Total Pfizer doses administered,6005426,2022-05-15,2022-05-17
Total Moderna doses administered,3580860,2022-05-15,2022-05-17
Total Johnson & Johnson doses administered,341406,2022-05-15,2022-05-17
Total Unknown/missing vaccine type,3458,2022-05-15,2022-05-17
Total vaccine doses administered,9917824,2022-05-12,2022-05-16
Total Pfizer doses administered,5997513,2022-05-12,2022-05-16
Total Moderna doses administered,3575466,2022-05-12,2022-05-16
Total Johnson & Johnson doses administered,341394,2022-05-12,2022-05-16
Total Unknown/missing vaccine type,3451,2022-05-12,2022-05-16
Total vaccine doses administered,9906807,2022-05-11,2022-05-13
Total Pfizer doses administered,5991398,2022-05-11,2022-05-13
Total Moderna doses administered,3570611,2022-05-11,2022-05-13
Total Johnson & Johnson doses administered,341363,2022-05-11,2022-05-13
Total Unknown/missing vaccine type,3435,2022-05-11,2022-05-13
Total vaccine doses administered,9895708,2022-05-10,2022-05-12
Total Pfizer doses administered,5984744,2022-05-10,2022-05-12
Total Moderna doses administered,3566223,2022-05-10,2022-05-12
Total Johnson & Johnson doses administered,341319,2022-05-10,2022-05-12
Total Unknown/missing vaccine type,3422,2022-05-10,2022-05-12
Total vaccine doses administered,9884488,2022-05-09,2022-05-11
Total Pfizer doses administered,5977941,2022-05-09,2022-05-11
Total Moderna doses administered,3561859,2022-05-09,2022-05-11
Total Johnson & Johnson doses administered,341284,2022-05-09,2022-05-11
Total Unknown/missing vaccine type,3404,2022-05-09,2022-05-11
Total vaccine doses administered,9876230,2022-05-08,2022-05-10
Total Pfizer doses administered,5972956,2022-05-08,2022-05-10
Total Moderna doses administered,3558626,2022-05-08,2022-05-10
Total Johnson & Johnson doses administered,341259,2022-05-08,2022-05-10
Total Unknown/missing vaccine type,3389,2022-05-08,2022-05-10
Total vaccine doses administered,9861322,2022-05-05,2022-05-09
Total Pfizer doses administered,5964185,2022-05-05,2022-05-09
Total Moderna doses administered,3552501,2022-05-05,2022-05-09
Total Johnson & Johnson doses administered,341257,2022-05-05,2022-05-09
Total Unknown/missing vaccine type,3379,2022-05-05,2022-05-09
Total vaccine doses administered,9849719,2022-05-04,2022-05-06
Total Pfizer doses administered,5957393,2022-05-04,2022-05-06
Total Moderna doses administered,3547756,2022-05-04,2022-05-06
Total Johnson & Johnson doses administered,341206,2022-05-04,2022-05-06
Total Unknown/missing vaccine type,3364,2022-05-04,2022-05-06
Total vaccine doses administered,9838378,2022-05-03,2022-05-05
Total Pfizer doses administered,5950487,2022-05-03,2022-05-05
Total Moderna doses administered,3543381,2022-05-03,2022-05-05
Total Johnson & Johnson doses administered,341164,2022-05-03,2022-05-05
Total Unknown/missing vaccine type,3346,2022-05-03,2022-05-05
Total vaccine doses administered,9827767,2022-05-02,2022-05-04
Total Pfizer doses administered,5944241,2022-05-02,2022-05-04
Total Moderna doses administered,3539056,2022-05-02,2022-05-04
Total Johnson & Johnson doses administered,341136,2022-05-02,2022-05-04
Total Unknown/missing vaccine type,3334,2022-05-02,2022-05-04
Total vaccine doses administered,9819039,2022-05-01,2022-05-03
Total Pfizer doses administered,5938787,2022-05-01,2022-05-03
Total Moderna doses administered,3535825,2022-05-01,2022-05-03
Total Johnson & Johnson doses administered,341113,2022-05-01,2022-05-03
Total Unknown/missing vaccine type,3314,2022-05-01,2022-05-03
Total vaccine doses administered,9801968,2022-04-28,2022-05-02
Total Pfizer doses administered,5929057,2022-04-28,2022-05-02
Total Moderna doses administered,3528579,2022-04-28,2022-05-02
Total Johnson & Johnson doses administered,341033,2022-04-28,2022-05-02
Total Unknown/missing vaccine type,3299,2022-04-28,2022-05-02
Total vaccine doses administered,9791607,2022-04-27,2022-04-29
Total Pfizer doses administered,5922692,2022-04-27,2022-04-29
Total Moderna doses administered,3524605,2022-04-27,2022-04-29
Total Johnson & Johnson doses administered,341020,2022-04-27,2022-04-29
Total Unknown/missing vaccine type,3290,2022-04-27,2022-04-29
Total vaccine doses administered,9779360,2022-04-26,2022-04-28
Total Pfizer doses administered,5915313,2022-04-26,2022-04-28
Total Moderna doses administered,3519768,2022-04-26,2022-04-28
Total Johnson & Johnson doses administered,340997,2022-04-26,2022-04-28
Total Unknown/missing vaccine type,3282,2022-04-26,2022-04-28
Total vaccine doses administered,9768160,2022-04-25,2022-04-27
Total Pfizer doses administered,5908379,2022-04-25,2022-04-27
Total Moderna doses administered,3515559,2022-04-25,2022-04-27
Total Johnson & Johnson doses administered,340960,2022-04-25,2022-04-27
Total Unknown/missing vaccine type,3262,2022-04-25,2022-04-27
Total vaccine doses administered,9759548,2022-04-24,2022-04-26
Total Pfizer doses administered,5902979,2022-04-24,2022-04-26
Total Moderna doses administered,3512388,2022-04-24,2022-04-26
Total Johnson & Johnson doses administered,340928,2022-04-24,2022-04-26
Total Unknown/missing vaccine type,3253,2022-04-24,2022-04-26
Total vaccine doses administered,9741584,2022-04-21,2022-04-25
Total Pfizer doses administered,5892554,2022-04-21,2022-04-25
Total Moderna doses administered,3504910,2022-04-21,2022-04-25
Total Johnson & Johnson doses administered,340873,2022-04-21,2022-04-25
Total Unknown/missing vaccine type,3247,2022-04-21,2022-04-25
Total vaccine doses administered,9728068,2022-04-20,2022-04-22
Total Pfizer doses administered,5884636,2022-04-20,2022-04-22
Total Moderna doses administered,3499355,2022-04-20,2022-04-22
Total Johnson & Johnson doses administered,340841,2022-04-20,2022-04-22
Total Unknown/missing vaccine type,3236,2022-04-20,2022-04-22
Total vaccine doses administered,9714187,2022-04-19,2022-04-21
Total Pfizer doses administered,5876072,2022-04-19,2022-04-21
Total Moderna doses administered,3494112,2022-04-19,2022-04-21
Total Johnson & Johnson doses administered,340784,2022-04-19,2022-04-21
Total Unknown/missing vaccine type,3219,2022-04-19,2022-04-21
Total vaccine doses administered,9699828,2022-04-18,2022-04-20
Total Pfizer doses administered,5867420,2022-04-18,2022-04-20
Total Moderna doses administered,3488443,2022-04-18,2022-04-20
Total Johnson & Johnson doses administered,340748,2022-04-18,2022-04-20
Total Unknown/missing vaccine type,3217,2022-04-18,2022-04-20
Total vaccine doses administered,9691122,2022-04-17,2022-04-19
Total Pfizer doses administered,5861652,2022-04-17,2022-04-19
Total Moderna doses administered,3485554,2022-04-17,2022-04-19
Total Johnson & Johnson doses administered,340709,2022-04-17,2022-04-19
Total Unknown/missing vaccine type,3207,2022-04-17,2022-04-19
Total vaccine doses administered,9672490,2022-04-14,2022-04-18
Total Pfizer doses administered,5850301,2022-04-14,2022-04-18
Total Moderna doses administered,3478264,2022-04-14,2022-04-18
Total Johnson & Johnson doses administered,340723,2022-04-14,2022-04-18
Total Unknown/missing vaccine type,3202,2022-04-14,2022-04-18
Total vaccine doses administered,9672490,2022-04-14,2022-04-16
Total Pfizer doses administered,5850301,2022-04-14,2022-04-16
Total Moderna doses administered,3478264,2022-04-14,2022-04-16
Total Johnson & Johnson doses administered,340723,2022-04-14,2022-04-16
