age,people_complete,filed_date,report_date
50-64,840969,2021-12-26,2021-12-28
65+,799078,2021-12-26,2021-12-28
Unknown/missing,15,2021-12-26,2021-12-28
12-15,166070,2021-12-22,2021-12-27
16-17,88321,2021-12-22,2021-12-27
18-49,1499354,2021-12-22,2021-12-27
5-11,109273,2021-12-22,2021-12-27
50-64,840289,2021-12-22,2021-12-27
65+,798742,2021-12-22,2021-12-27
Unknown/missing,15,2021-12-22,2021-12-27
12-15,165937,2021-12-21,2021-12-23
16-17,88278,2021-12-21,2021-12-23
18-49,1498259,2021-12-21,2021-12-23
5-11,107029,2021-12-21,2021-12-23
50-64,840061,2021-12-21,2021-12-23
65+,798585,2021-12-21,2021-12-23
Unknown/missing,15,2021-12-21,2021-12-23
12-15,165501,2021-12-19,2021-12-21
16-17,88153,2021-12-19,2021-12-21
18-49,1495995,2021-12-19,2021-12-21
5-11,102324,2021-12-19,2021-12-21
50-64,839622,2021-12-19,2021-12-21
65+,798968,2021-12-19,2021-12-21
Unknown/missing,15,2021-12-19,2021-12-21
12-15,165151,2021-12-16,2021-12-20
16-17,88027,2021-12-16,2021-12-20
18-49,1493809,2021-12-16,2021-12-20
5-11,97566,2021-12-16,2021-12-20
50-64,839004,2021-12-16,2021-12-20
65+,798704,2021-12-16,2021-12-20
Unknown/missing,15,2021-12-16,2021-12-20
12-15,164962,2021-12-15,2021-12-17
16-17,87977,2021-12-15,2021-12-17
18-49,1492847,2021-12-15,2021-12-17
5-11,94944,2021-12-15,2021-12-17
50-64,838670,2021-12-15,2021-12-17
65+,798527,2021-12-15,2021-12-17
Unknown/missing,13,2021-12-15,2021-12-17
12-15,164730,2021-12-14,2021-12-16
16-17,87904,2021-12-14,2021-12-16
18-49,1491407,2021-12-14,2021-12-16
5-11,90914,2021-12-14,2021-12-16
50-64,838282,2021-12-14,2021-12-16
65+,798289,2021-12-14,2021-12-16
Unknown/missing,13,2021-12-14,2021-12-16
12-15,164479,2021-12-13,2021-12-15
16-17,87854,2021-12-13,2021-12-15
18-49,1490351,2021-12-13,2021-12-15
5-11,86822,2021-12-13,2021-12-15
50-64,838031,2021-12-13,2021-12-15
65+,798792,2021-12-13,2021-12-15
Unknown/missing,13,2021-12-13,2021-12-15
12-15,164264,2021-12-12,2021-12-14
16-17,87788,2021-12-12,2021-12-14
18-49,1489252,2021-12-12,2021-12-14
5-11,81367,2021-12-12,2021-12-14
50-64,837737,2021-12-12,2021-12-14
65+,798579,2021-12-12,2021-12-14
Unknown/missing,13,2021-12-12,2021-12-14
12-15,163705,2021-12-09,2021-12-13
16-17,87635,2021-12-09,2021-12-13
18-49,1486673,2021-12-09,2021-12-13
5-11,68081,2021-12-09,2021-12-13
50-64,836972,2021-12-09,2021-12-13
65+,798291,2021-12-09,2021-12-13
Unknown/missing,11,2021-12-09,2021-12-13
12-15,163520,2021-12-08,2021-12-10
16-17,87581,2021-12-08,2021-12-10
18-49,1485827,2021-12-08,2021-12-10
5-11,63292,2021-12-08,2021-12-10
50-64,836699,2021-12-08,2021-12-10
65+,798116,2021-12-08,2021-12-10
Unknown/missing,10,2021-12-08,2021-12-10
12-15,163261,2021-12-07,2021-12-09
16-17,87526,2021-12-07,2021-12-09
18-49,1484405,2021-12-07,2021-12-09
5-11,55614,2021-12-07,2021-12-09
50-64,836243,2021-12-07,2021-12-09
65+,797865,2021-12-07,2021-12-09
Unknown/missing,9,2021-12-07,2021-12-09
12-15,163052,2021-12-06,2021-12-08
16-17,87453,2021-12-06,2021-12-08
18-49,1483159,2021-12-06,2021-12-08
5-11,50066,2021-12-06,2021-12-08
50-64,835962,2021-12-06,2021-12-08
65+,798317,2021-12-06,2021-12-08
Unknown/missing,9,2021-12-06,2021-12-08
12-15,162866,2021-12-05,2021-12-07
16-17,87414,2021-12-05,2021-12-07
18-49,1482367,2021-12-05,2021-12-07
5-11,44852,2021-12-05,2021-12-07
50-64,835687,2021-12-05,2021-12-07
65+,798128,2021-12-05,2021-12-07
Unknown/missing,9,2021-12-05,2021-12-07
12-15,162367,2021-12-02,2021-12-06
16-17,87280,2021-12-02,2021-12-06
18-49,1480016,2021-12-02,2021-12-06
5-11,30279,2021-12-02,2021-12-06
50-64,834965,2021-12-02,2021-12-06
65+,797745,2021-12-02,2021-12-06
Unknown/missing,6,2021-12-02,2021-12-06
12-15,162011,2021-12-01,2021-12-03
16-17,87185,2021-12-01,2021-12-03
18-49,1478218,2021-12-01,2021-12-03
5-11,22337,2021-12-01,2021-12-03
50-64,834385,2021-12-01,2021-12-03
65+,797469,2021-12-01,2021-12-03
Unknown/missing,5,2021-12-01,2021-12-03
12-15,161685,2021-11-30,2021-12-02
16-17,87102,2021-11-30,2021-12-02
18-49,1476785,2021-11-30,2021-12-02
5-11,16492,2021-11-30,2021-12-02
50-64,833936,2021-11-30,2021-12-02
65+,797231,2021-11-30,2021-12-02
Unknown/missing,5,2021-11-30,2021-12-02
12-15,161234,2021-11-29,2021-12-01
16-17,86994,2021-11-29,2021-12-01
18-49,1475413,2021-11-29,2021-12-01
5-11,10674,2021-11-29,2021-12-01
50-64,833571,2021-11-29,2021-12-01
65+,797605,2021-11-29,2021-12-01
Unknown/missing,5,2021-11-29,2021-12-01
12-15,160888,2021-11-28,2021-11-30
16-17,86910,2021-11-28,2021-11-30
18-49,1474341,2021-11-28,2021-11-30
5-11,6118,2021-11-28,2021-11-30
50-64,833178,2021-11-28,2021-11-30
65+,797400,2021-11-28,2021-11-30
Unknown/missing,4,2021-11-28,2021-11-30
12-15,159951,2021-11-23,2021-11-26
16-17,86632,2021-11-23,2021-11-26
18-49,1471061,2021-11-23,2021-11-26
5-11,190,2021-11-23,2021-11-26
50-64,832212,2021-11-23,2021-11-26
65+,796934,2021-11-23,2021-11-26
Unknown/missing,4,2021-11-23,2021-11-26
12-15,159692,2021-11-22,2021-11-24
16-17,86543,2021-11-22,2021-11-24
18-49,1469876,2021-11-22,2021-11-24
5-11,149,2021-11-22,2021-11-24
50-64,831895,2021-11-22,2021-11-24
65+,797293,2021-11-22,2021-11-24
Unknown/missing,3,2021-11-22,2021-11-24
12-15,159504,2021-11-21,2021-11-23
16-17,86487,2021-11-21,2021-11-23
18-49,1468689,2021-11-21,2021-11-23
5-11,144,2021-11-21,2021-11-23
50-64,831468,2021-11-21,2021-11-23
65+,796957,2021-11-21,2021-11-23
Unknown/missing,3,2021-11-21,2021-11-23
12-15,158914,2021-11-18,2021-11-22
16-17,86314,2021-11-18,2021-11-22
18-49,1465770,2021-11-18,2021-11-22
5-11,142,2021-11-18,2021-11-22
50-64,830559,2021-11-18,2021-11-22
65+,796516,2021-11-18,2021-11-22
Unknown/missing,4,2021-11-18,2021-11-22
12-15,158667,2021-11-17,2021-11-19
16-17,86222,2021-11-17,2021-11-19
18-49,1464542,2021-11-17,2021-11-19
5-11,137,2021-11-17,2021-11-19
50-64,830123,2021-11-17,2021-11-19
65+,796258,2021-11-17,2021-11-19
Unknown/missing,4,2021-11-17,2021-11-19
12-15,158442,2021-11-16,2021-11-18
16-17,86157,2021-11-16,2021-11-18
18-49,1463162,2021-11-16,2021-11-18
5-11,135,2021-11-16,2021-11-18
50-64,829679,2021-11-16,2021-11-18
65+,795940,2021-11-16,2021-11-18
Unknown/missing,3,2021-11-16,2021-11-18
12-15,158200,2021-11-15,2021-11-17
16-17,86050,2021-11-15,2021-11-17
18-49,1461929,2021-11-15,2021-11-17
5-11,134,2021-11-15,2021-11-17
50-64,829344,2021-11-15,2021-11-17
65+,796319,2021-11-15,2021-11-17
Unknown/missing,3,2021-11-15,2021-11-17
12-15,157985,2021-11-14,2021-11-16
16-17,85970,2021-11-14,2021-11-16
18-49,1460989,2021-11-14,2021-11-16
5-11,131,2021-11-14,2021-11-16
50-64,828989,2021-11-14,2021-11-16
65+,796059,2021-11-14,2021-11-16
Unknown/missing,5,2021-11-14,2021-11-16
12-15,157319,2021-11-11,2021-11-15
16-17,85764,2021-11-11,2021-11-15
18-49,1455038,2021-11-11,2021-11-15
5-11,123,2021-11-11,2021-11-15
50-64,825416,2021-11-11,2021-11-15
65+,790748,2021-11-11,2021-11-15
Unknown/missing,4,2021-11-11,2021-11-15
12-15,157026,2021-11-10,2021-11-12
16-17,85678,2021-11-10,2021-11-12
18-49,1453812,2021-11-10,2021-11-12
5-11,123,2021-11-10,2021-11-12
50-64,824976,2021-11-10,2021-11-12
65+,790333,2021-11-10,2021-11-12
Unknown/missing,4,2021-11-10,2021-11-12
12-15,156797,2021-11-09,2021-11-11
16-17,85590,2021-11-09,2021-11-11
18-49,1452537,2021-11-09,2021-11-11
5-11,122,2021-11-09,2021-11-11
50-64,824532,2021-11-09,2021-11-11
65+,789881,2021-11-09,2021-11-11
Unknown/missing,3,2021-11-09,2021-11-11
12-15,156583,2021-11-08,2021-11-10
16-17,85522,2021-11-08,2021-11-10
18-49,1450980,2021-11-08,2021-11-10
5-11,120,2021-11-08,2021-11-10
50-64,824144,2021-11-08,2021-11-10
65+,789985,2021-11-08,2021-11-10
Unknown/missing,2,2021-11-08,2021-11-10
12-15,156412,2021-11-07,2021-11-09
16-17,85463,2021-11-07,2021-11-09
18-49,1463739,2021-11-07,2021-11-09
5-11,115,2021-11-07,2021-11-09
50-64,834594,2021-11-07,2021-11-09
65+,799624,2021-11-07,2021-11-09
Unknown/missing,2,2021-11-07,2021-11-09
12-15,155883,2021-11-04,2021-11-08
16-17,85282,2021-11-04,2021-11-08
18-49,1455699,2021-11-04,2021-11-08
5-11,115,2021-11-04,2021-11-08
50-64,830684,2021-11-04,2021-11-08
65+,796698,2021-11-04,2021-11-08
Unknown/missing,2,2021-11-04,2021-11-08
12-15,155733,2021-11-03,2021-11-05
16-17,85267,2021-11-03,2021-11-05
18-49,1457243,2021-11-03,2021-11-05
5-11,115,2021-11-03,2021-11-05
50-64,832543,2021-11-03,2021-11-05
65+,800733,2021-11-03,2021-11-05
Unknown/missing,2,2021-11-03,2021-11-05
12-15,155540,2021-11-02,2021-11-04
16-17,85206,2021-11-02,2021-11-04
18-49,1455119,2021-11-02,2021-11-04
50-64,831342,2021-11-02,2021-11-04
65+,799529,2021-11-02,2021-11-04
Unknown/missing,118,2021-11-02,2021-11-04
12-15,155358,2021-11-01,2021-11-03
16-17,85153,2021-11-01,2021-11-03
18-49,1453013,2021-11-01,2021-11-03
50-64,830200,2021-11-01,2021-11-03
65+,798195,2021-11-01,2021-11-03
Unknown/missing,117,2021-11-01,2021-11-03
12-15,155218,2021-10-31,2021-11-02
16-17,85112,2021-10-31,2021-11-02
18-49,1451711,2021-10-31,2021-11-02
50-64,829393,2021-10-31,2021-11-02
65+,797115,2021-10-31,2021-11-02
Unknown/missing,116,2021-10-31,2021-11-02
12-15,154696,2021-10-28,2021-11-01
16-17,84959,2021-10-28,2021-11-01
18-49,1445583,2021-10-28,2021-11-01
50-64,826139,2021-10-28,2021-11-01
65+,794541,2021-10-28,2021-11-01
Unknown/missing,116,2021-10-28,2021-11-01
12-15,154456,2021-10-27,2021-10-29
16-17,84892,2021-10-27,2021-10-29
18-49,1442522,2021-10-27,2021-10-29
50-64,824516,2021-10-27,2021-10-29
65+,793895,2021-10-27,2021-10-29
Unknown/missing,116,2021-10-27,2021-10-29
12-15,154248,2021-10-26,2021-10-28
16-17,84901,2021-10-26,2021-10-28
18-49,1441003,2021-10-26,2021-10-28
50-64,823289,2021-10-26,2021-10-28
65+,792268,2021-10-26,2021-10-28
Unknown/missing,116,2021-10-26,2021-10-28
12-15,153821,2021-10-25,2021-10-27
16-17,84770,2021-10-25,2021-10-27
18-49,1439415,2021-10-25,2021-10-27
50-64,822760,2021-10-25,2021-10-27
65+,791872,2021-10-25,2021-10-27
Unknown/missing,116,2021-10-25,2021-10-27
12-15,153626,2021-10-24,2021-10-26
16-17,84702,2021-10-24,2021-10-26
18-49,1438230,2021-10-24,2021-10-26
50-64,822406,2021-10-24,2021-10-26
65+,791492,2021-10-24,2021-10-26
Unknown/missing,116,2021-10-24,2021-10-26
12-15,153040,2021-10-21,2021-10-25
16-17,84527,2021-10-21,2021-10-25
18-49,1435457,2021-10-21,2021-10-25
50-64,821629,2021-10-21,2021-10-25
65+,791037,2021-10-21,2021-10-25
Unknown/missing,115,2021-10-21,2021-10-25
12-15,152713,2021-10-20,2021-10-22
16-17,84405,2021-10-20,2021-10-22
18-49,1433782,2021-10-20,2021-10-22
50-64,821104,2021-10-20,2021-10-22
65+,790701,2021-10-20,2021-10-22
Unknown/missing,115,2021-10-20,2021-10-22
12-15,152443,2021-10-19,2021-10-21
16-17,84343,2021-10-19,2021-10-21
18-49,1432418,2021-10-19,2021-10-21
50-64,820713,2021-10-19,2021-10-21
65+,790412,2021-10-19,2021-10-21
Unknown/missing,115,2021-10-19,2021-10-21
12-15,152233,2021-10-18,2021-10-20
16-17,84280,2021-10-18,2021-10-20
18-49,1430962,2021-10-18,2021-10-20
50-64,820345,2021-10-18,2021-10-20
65+,790679,2021-10-18,2021-10-20
Unknown/missing,115,2021-10-18,2021-10-20
12-15,152018,2021-10-17,2021-10-19
16-17,84207,2021-10-17,2021-10-19
18-49,1429666,2021-10-17,2021-10-19
50-64,819957,2021-10-17,2021-10-19
65+,790360,2021-10-17,2021-10-19
Unknown/missing,115,2021-10-17,2021-10-19
12-15,151342,2021-10-14,2021-10-18
16-17,83972,2021-10-14,2021-10-18
18-49,1426096,2021-10-14,2021-10-18
50-64,819031,2021-10-14,2021-10-18
65+,789988,2021-10-14,2021-10-18
Unknown/missing,113,2021-10-14,2021-10-18
12-15,151037,2021-10-13,2021-10-15
16-17,83864,2021-10-13,2021-10-15
18-49,1424643,2021-10-13,2021-10-15
50-64,818549,2021-10-13,2021-10-15
65+,789629,2021-10-13,2021-10-15
Unknown/missing,113,2021-10-13,2021-10-15
12-15,150725,2021-10-12,2021-10-14
16-17,83767,2021-10-12,2021-10-14
18-49,1422992,2021-10-12,2021-10-14
50-64,818102,2021-10-12,2021-10-14
65+,789232,2021-10-12,2021-10-14
Unknown/missing,113,2021-10-12,2021-10-14
12-15,150504,2021-10-11,2021-10-13
16-17,83671,2021-10-11,2021-10-13
18-49,1421544,2021-10-11,2021-10-13
50-64,817675,2021-10-11,2021-10-13
65+,788915,2021-10-11,2021-10-13
Unknown/missing,114,2021-10-11,2021-10-13
12-15,150301,2021-10-10,2021-10-12
16-17,83603,2021-10-10,2021-10-12
18-49,1420431,2021-10-10,2021-10-12
50-64,817276,2021-10-10,2021-10-12
65+,788595,2021-10-10,2021-10-12
Unknown/missing,113,2021-10-10,2021-10-12
12-15,149666,2021-10-07,2021-10-11
16-17,83383,2021-10-07,2021-10-11
18-49,1417164,2021-10-07,2021-10-11
50-64,816367,2021-10-07,2021-10-11
65+,788179,2021-10-07,2021-10-11
Unknown/missing,112,2021-10-07,2021-10-11
12-15,149253,2021-10-06,2021-10-08
16-17,83231,2021-10-06,2021-10-08
18-49,1414556,2021-10-06,2021-10-08
50-64,815616,2021-10-06,2021-10-08
65+,787743,2021-10-06,2021-10-08
Unknown/missing,112,2021-10-06,2021-10-08
12-15,148636,2021-10-05,2021-10-07
16-17,83039,2021-10-05,2021-10-07
18-49,1410888,2021-10-05,2021-10-07
50-64,814686,2021-10-05,2021-10-07
65+,787178,2021-10-05,2021-10-07
Unknown/missing,111,2021-10-05,2021-10-07
12-15,148376,2021-10-04,2021-10-06
16-17,82963,2021-10-04,2021-10-06
18-49,1409715,2021-10-04,2021-10-06
50-64,814342,2021-10-04,2021-10-06
65+,787378,2021-10-04,2021-10-06
Unknown/missing,111,2021-10-04,2021-10-06
12-15,148158,2021-10-03,2021-10-05
16-17,82890,2021-10-03,2021-10-05
18-49,1408503,2021-10-03,2021-10-05
50-64,813933,2021-10-03,2021-10-05
65+,786980,2021-10-03,2021-10-05
Unknown/missing,111,2021-10-03,2021-10-05
12-15,147527,2021-09-30,2021-10-04
16-17,82675,2021-09-30,2021-10-04
18-49,1405161,2021-09-30,2021-10-04
50-64,813100,2021-09-30,2021-10-04
65+,786467,2021-09-30,2021-10-04
Unknown/missing,109,2021-09-30,2021-10-04
12-15,147221,2021-09-29,2021-10-01
16-17,82572,2021-09-29,2021-10-01
18-49,1403894,2021-09-29,2021-10-01
50-64,812607,2021-09-29,2021-10-01
65+,786062,2021-09-29,2021-10-01
Unknown/missing,109,2021-09-29,2021-10-01
12-15,146930,2021-09-28,2021-09-30
16-17,82444,2021-09-28,2021-09-30
18-49,1402501,2021-09-28,2021-09-30
50-64,812161,2021-09-28,2021-09-30
65+,785668,2021-09-28,2021-09-30
Unknown/missing,108,2021-09-28,2021-09-30
12-15,146628,2021-09-27,2021-09-29
16-17,82357,2021-09-27,2021-09-29
18-49,1401175,2021-09-27,2021-09-29
50-64,811797,2021-09-27,2021-09-29
65+,785819,2021-09-27,2021-09-29
Unknown/missing,106,2021-09-27,2021-09-29
12-15,146269,2021-09-26,2021-09-28
16-17,82224,2021-09-26,2021-09-28
18-49,1399873,2021-09-26,2021-09-28
50-64,811388,2021-09-26,2021-09-28
65+,785486,2021-09-26,2021-09-28
Unknown/missing,105,2021-09-26,2021-09-28
12-15,144932,2021-09-23,2021-09-27
16-17,81801,2021-09-23,2021-09-27
18-49,1395077,2021-09-23,2021-09-27
50-64,810074,2021-09-23,2021-09-27
65+,785075,2021-09-23,2021-09-27
Unknown/missing,102,2021-09-23,2021-09-27
12-15,144323,2021-09-22,2021-09-24
16-17,81608,2021-09-22,2021-09-24
18-49,1392943,2021-09-22,2021-09-24
50-64,809494,2021-09-22,2021-09-24
65+,784738,2021-09-22,2021-09-24
Unknown/missing,102,2021-09-22,2021-09-24
12-15,143796,2021-09-21,2021-09-23
16-17,81427,2021-09-21,2021-09-23
18-49,1391293,2021-09-21,2021-09-23
50-64,808976,2021-09-21,2021-09-23
65+,784401,2021-09-21,2021-09-23
Unknown/missing,100,2021-09-21,2021-09-23
12-15,143258,2021-09-20,2021-09-22
16-17,81250,2021-09-20,2021-09-22
18-49,1388964,2021-09-20,2021-09-22
50-64,808249,2021-09-20,2021-09-22
65+,784042,2021-09-20,2021-09-22
Unknown/missing,100,2021-09-20,2021-09-22
12-15,142799,2021-09-19,2021-09-21
16-17,81097,2021-09-19,2021-09-21
18-49,1387320,2021-09-19,2021-09-21
50-64,807687,2021-09-19,2021-09-21
65+,783711,2021-09-19,2021-09-21
Unknown/missing,98,2021-09-19,2021-09-21
12-15,141408,2021-09-16,2021-09-20
16-17,80649,2021-09-16,2021-09-20
18-49,1381784,2021-09-16,2021-09-20
50-64,806125,2021-09-16,2021-09-20
65+,783253,2021-09-16,2021-09-20
Unknown/missing,95,2021-09-16,2021-09-20
12-15,140630,2021-09-15,2021-09-17
16-17,80346,2021-09-15,2021-09-17
18-49,1378662,2021-09-15,2021-09-17
50-64,805170,2021-09-15,2021-09-17
65+,782791,2021-09-15,2021-09-17
Unknown/missing,95,2021-09-15,2021-09-17
12-15,139900,2021-09-14,2021-09-16
16-17,80118,2021-09-14,2021-09-16
18-49,1376143,2021-09-14,2021-09-16
50-64,804363,2021-09-14,2021-09-16
65+,782397,2021-09-14,2021-09-16
Unknown/missing,96,2021-09-14,2021-09-16
12-15,139271,2021-09-13,2021-09-15
16-17,79937,2021-09-13,2021-09-15
18-49,1373558,2021-09-13,2021-09-15
50-64,803642,2021-09-13,2021-09-15
65+,782609,2021-09-13,2021-09-15
Unknown/missing,96,2021-09-13,2021-09-15
12-15,138635,2021-09-12,2021-09-14
16-17,79722,2021-09-12,2021-09-14
18-49,1371619,2021-09-12,2021-09-14
50-64,803000,2021-09-12,2021-09-14
65+,782244,2021-09-12,2021-09-14
Unknown/missing,97,2021-09-12,2021-09-14
12-15,136605,2021-09-09,2021-09-13
16-17,79078,2021-09-09,2021-09-13
18-49,1365154,2021-09-09,2021-09-13
50-64,801150,2021-09-09,2021-09-13
65+,781701,2021-09-09,2021-09-13
Unknown/missing,97,2021-09-09,2021-09-13
12-15,135701,2021-09-08,2021-09-10
16-17,78784,2021-09-08,2021-09-10
18-49,1362458,2021-09-08,2021-09-10
50-64,800298,2021-09-08,2021-09-10
65+,781298,2021-09-08,2021-09-10
Unknown/missing,96,2021-09-08,2021-09-10
12-15,134727,2021-09-07,2021-09-09
16-17,78411,2021-09-07,2021-09-09
18-49,1359484,2021-09-07,2021-09-09
50-64,799323,2021-09-07,2021-09-09
65+,780848,2021-09-07,2021-09-09
Unknown/missing,96,2021-09-07,2021-09-09
12-15,134082,2021-09-06,2021-09-08
16-17,78174,2021-09-06,2021-09-08
18-49,1357657,2021-09-06,2021-09-08
50-64,798694,2021-09-06,2021-09-08
65+,780895,2021-09-06,2021-09-08
Unknown/missing,95,2021-09-06,2021-09-08
12-15,130991,2021-09-02,2021-09-07
16-17,77181,2021-09-02,2021-09-07
18-49,1349946,2021-09-02,2021-09-07
50-64,796267,2021-09-02,2021-09-07
65+,780174,2021-09-02,2021-09-07
Unknown/missing,93,2021-09-02,2021-09-07
12-15,129647,2021-09-01,2021-09-03
16-17,76835,2021-09-01,2021-09-03
18-49,1347018,2021-09-01,2021-09-03
50-64,795307,2021-09-01,2021-09-03
65+,779669,2021-09-01,2021-09-03
Unknown/missing,92,2021-09-01,2021-09-03
12-15,128355,2021-08-31,2021-09-02
16-17,76415,2021-08-31,2021-09-02
18-49,1344190,2021-08-31,2021-09-02
50-64,794275,2021-08-31,2021-09-02
65+,779199,2021-08-31,2021-09-02
Unknown/missing,89,2021-08-31,2021-09-02
12-15,127100,2021-08-30,2021-09-01
16-17,76051,2021-08-30,2021-09-01
18-49,1341100,2021-08-30,2021-09-01
50-64,793110,2021-08-30,2021-09-01
65+,778847,2021-08-30,2021-09-01
Unknown/missing,90,2021-08-30,2021-09-01
12-15,126127,2021-08-29,2021-08-31
16-17,75776,2021-08-29,2021-08-31
18-49,1338786,2021-08-29,2021-08-31
50-64,792316,2021-08-29,2021-08-31
65+,778476,2021-08-29,2021-08-31
Unknown/missing,88,2021-08-29,2021-08-31
12-15,123731,2021-08-26,2021-08-30
16-17,75073,2021-08-26,2021-08-30
18-49,1332468,2021-08-26,2021-08-30
50-64,790108,2021-08-26,2021-08-30
65+,777734,2021-08-26,2021-08-30
Unknown/missing,85,2021-08-26,2021-08-30
12-15,122345,2021-08-25,2021-08-27
16-17,74596,2021-08-25,2021-08-27
18-49,1329392,2021-08-25,2021-08-27
50-64,789061,2021-08-25,2021-08-27
65+,777253,2021-08-25,2021-08-27
Unknown/missing,84,2021-08-25,2021-08-27
12-15,121033,2021-08-24,2021-08-26
16-17,74173,2021-08-24,2021-08-26
18-49,1326580,2021-08-24,2021-08-26
50-64,788088,2021-08-24,2021-08-26
65+,776750,2021-08-24,2021-08-26
Unknown/missing,83,2021-08-24,2021-08-26
12-15,119608,2021-08-23,2021-08-25
16-17,73753,2021-08-23,2021-08-25
18-49,1323603,2021-08-23,2021-08-25
50-64,787015,2021-08-23,2021-08-25
65+,776648,2021-08-23,2021-08-25
Unknown/missing,82,2021-08-23,2021-08-25
12-15,118702,2021-08-22,2021-08-24
16-17,73505,2021-08-22,2021-08-24
18-49,1321663,2021-08-22,2021-08-24
50-64,786295,2021-08-22,2021-08-24
65+,776127,2021-08-22,2021-08-24
Unknown/missing,82,2021-08-22,2021-08-24
12-15,116717,2021-08-19,2021-08-23
16-17,72814,2021-08-19,2021-08-23
18-49,1315992,2021-08-19,2021-08-23
50-64,784231,2021-08-19,2021-08-23
65+,775305,2021-08-19,2021-08-23
Unknown/missing,76,2021-08-19,2021-08-23
12-15,115616,2021-08-18,2021-08-20
16-17,72480,2021-08-18,2021-08-20
18-49,1313224,2021-08-18,2021-08-20
50-64,783146,2021-08-18,2021-08-20
65+,774852,2021-08-18,2021-08-20
Unknown/missing,76,2021-08-18,2021-08-20
12-15,114885,2021-08-17,2021-08-19
16-17,72275,2021-08-17,2021-08-19
18-49,1311482,2021-08-17,2021-08-19
50-64,782498,2021-08-17,2021-08-19
65+,775007,2021-08-17,2021-08-19
Unknown/missing,74,2021-08-17,2021-08-19
12-15,113964,2021-08-16,2021-08-18
16-17,72031,2021-08-16,2021-08-18
18-49,1308989,2021-08-16,2021-08-18
50-64,781586,2021-08-16,2021-08-18
65+,774529,2021-08-16,2021-08-18
Unknown/missing,73,2021-08-16,2021-08-18
12-15,113336,2021-08-15,2021-08-17
16-17,71852,2021-08-15,2021-08-17
18-49,1307331,2021-08-15,2021-08-17
50-64,780865,2021-08-15,2021-08-17
65+,774117,2021-08-15,2021-08-17
Unknown/missing,74,2021-08-15,2021-08-17
12-15,112094,2021-08-12,2021-08-16
16-17,71436,2021-08-12,2021-08-16
18-49,1303280,2021-08-12,2021-08-16
50-64,779328,2021-08-12,2021-08-16
65+,773540,2021-08-12,2021-08-16
Unknown/missing,71,2021-08-12,2021-08-16
12-15,111352,2021-08-11,2021-08-13
16-17,71202,2021-08-11,2021-08-13
18-49,1301269,2021-08-11,2021-08-13
50-64,778493,2021-08-11,2021-08-13
65+,772984,2021-08-11,2021-08-13
Unknown/missing,71,2021-08-11,2021-08-13
12-15,110632,2021-08-10,2021-08-12
16-17,70985,2021-08-10,2021-08-12
18-49,1299369,2021-08-10,2021-08-12
50-64,777794,2021-08-10,2021-08-12
65+,772594,2021-08-10,2021-08-12
Unknown/missing,71,2021-08-10,2021-08-12
12-15,110040,2021-08-09,2021-08-11
16-17,70822,2021-08-09,2021-08-11
18-49,1297949,2021-08-09,2021-08-11
50-64,777310,2021-08-09,2021-08-11
65+,772718,2021-08-09,2021-08-11
Unknown/missing,71,2021-08-09,2021-08-11
12-15,109507,2021-08-08,2021-08-10
16-17,70681,2021-08-08,2021-08-10
18-49,1296406,2021-08-08,2021-08-10
50-64,776710,2021-08-08,2021-08-10
65+,772307,2021-08-08,2021-08-10
Unknown/missing,72,2021-08-08,2021-08-10
12-15,108418,2021-08-05,2021-08-09
16-17,70336,2021-08-05,2021-08-09
18-49,1292655,2021-08-05,2021-08-09
50-64,775444,2021-08-05,2021-08-09
65+,771764,2021-08-05,2021-08-09
Unknown/missing,70,2021-08-05,2021-08-09
12-15,107788,2021-08-04,2021-08-06
16-17,70130,2021-08-04,2021-08-06
18-49,1290683,2021-08-04,2021-08-06
50-64,774698,2021-08-04,2021-08-06
65+,771379,2021-08-04,2021-08-06
Unknown/missing,70,2021-08-04,2021-08-06
12-15,107160,2021-08-03,2021-08-05
16-17,69926,2021-08-03,2021-08-05
18-49,1288857,2021-08-03,2021-08-05
50-64,774065,2021-08-03,2021-08-05
65+,771015,2021-08-03,2021-08-05
Unknown/missing,70,2021-08-03,2021-08-05
12-15,106572,2021-08-02,2021-08-04
16-17,69752,2021-08-02,2021-08-04
18-49,1287121,2021-08-02,2021-08-04
50-64,773408,2021-08-02,2021-08-04
65+,770635,2021-08-02,2021-08-04
Unknown/missing,68,2021-08-02,2021-08-04
12-15,106112,2021-08-01,2021-08-03
16-17,69596,2021-08-01,2021-08-03
18-49,1285775,2021-08-01,2021-08-03
50-64,772938,2021-08-01,2021-08-03
65+,770140,2021-08-01,2021-08-03
Unknown/missing,68,2021-08-01,2021-08-03
12-15,104993,2021-07-29,2021-08-02
16-17,69212,2021-07-29,2021-08-02
18-49,1282082,2021-07-29,2021-08-02
50-64,771655,2021-07-29,2021-08-02
65+,769628,2021-07-29,2021-08-02
Unknown/missing,67,2021-07-29,2021-08-02
12-15,104382,2021-07-28,2021-07-30
16-17,69019,2021-07-28,2021-07-30
18-49,1280241,2021-07-28,2021-07-30
50-64,770948,2021-07-28,2021-07-30
65+,769232,2021-07-28,2021-07-30
Unknown/missing,67,2021-07-28,2021-07-30
12-15,103731,2021-07-27,2021-07-29
16-17,68813,2021-07-27,2021-07-29
18-49,1278292,2021-07-27,2021-07-29
