age_group,year,week,case_definition,white,black_african_american,american_indian,asian_pacific_islander,multiracial,hispanic,web_date
18-Dec,2022,20,At least one vaccine dose,0.5710000000000001,0.653,0.62,0.929,0.311,0.664,2022-06-06
12+,2022,20,At least one vaccine dose,0.741,0.787,0.67,0.92,0.465,0.785,2022-06-06
65+,2022,20,Completed vaccine series,0.965,1,0.818,1,0.93,0.892,2022-06-06
11-May,2022,20,Completed vaccine series,0.353,0.24600000000000002,0.294,0.617,0.22,0.289,2022-06-06
5+,2022,20,Completed vaccine series,0.6829999999999999,0.643,0.57,0.8390000000000001,0.38799999999999996,0.647,2022-06-06
45-64,2022,20,Completed vaccine series,0.688,0.8690000000000001,0.6579999999999999,0.938,0.654,0.828,2022-06-06
19-44,2022,20,Completed vaccine series,0.632,0.643,0.5589999999999999,0.8059999999999999,0.415,0.698,2022-06-06
18-Dec,2022,20,Completed vaccine series,0.547,0.5760000000000001,0.5589999999999999,0.884,0.293,0.604,2022-06-06
12+,2022,20,Completed vaccine series,0.7120000000000001,0.7170000000000001,0.615,0.8690000000000001,0.439,0.718,2022-06-06
65+,2022,19,At least one vaccine dose,0.996,1,0.845,1,0.9690000000000001,0.958,2022-06-06
11-May,2022,19,At least one vaccine dose,0.377,0.29600000000000004,0.361,0.669,0.24100000000000002,0.335,2022-06-06
5+,2022,19,At least one vaccine dose,0.711,0.7090000000000001,0.625,0.89,0.413,0.7090000000000001,2022-06-06
45-64,2022,19,At least one vaccine dose,0.7070000000000001,0.9209999999999999,0.6990000000000001,0.981,0.675,0.879,2022-06-06
19-44,2022,19,At least one vaccine dose,0.6679999999999999,0.7190000000000001,0.625,0.862,0.446,0.773,2022-06-06
18-Dec,2022,19,At least one vaccine dose,0.5710000000000001,0.6509999999999999,0.62,0.929,0.311,0.6629999999999999,2022-06-06
12+,2022,19,At least one vaccine dose,0.741,0.785,0.669,0.92,0.465,0.784,2022-06-06
65+,2022,19,Completed vaccine series,0.9640000000000001,1,0.8170000000000001,1,0.9279999999999999,0.8909999999999999,2022-06-06
11-May,2022,19,Completed vaccine series,0.35200000000000004,0.245,0.293,0.615,0.21899999999999997,0.28800000000000003,2022-06-06
5+,2022,19,Completed vaccine series,0.682,0.642,0.568,0.838,0.387,0.6459999999999999,2022-06-06
45-64,2022,19,Completed vaccine series,0.688,0.868,0.657,0.938,0.653,0.828,2022-06-06
19-44,2022,19,Completed vaccine series,0.632,0.6409999999999999,0.5579999999999999,0.8059999999999999,0.414,0.6970000000000001,2022-06-06
18-Dec,2022,19,Completed vaccine series,0.547,0.574,0.5579999999999999,0.883,0.292,0.604,2022-06-06
12+,2022,19,Completed vaccine series,0.7120000000000001,0.716,0.614,0.868,0.43799999999999994,0.7170000000000001,2022-06-06
65+,2022,18,At least one vaccine dose,0.995,1,0.8440000000000001,1,0.968,0.9570000000000001,2022-06-06
11-May,2022,18,At least one vaccine dose,0.377,0.294,0.359,0.667,0.24100000000000002,0.33299999999999996,2022-06-06
5+,2022,18,At least one vaccine dose,0.71,0.7070000000000001,0.624,0.889,0.413,0.708,2022-06-06
45-64,2022,18,At least one vaccine dose,0.7070000000000001,0.92,0.6990000000000001,0.981,0.674,0.879,2022-06-06
19-44,2022,18,At least one vaccine dose,0.6679999999999999,0.718,0.624,0.862,0.446,0.772,2022-06-06
18-Dec,2022,18,At least one vaccine dose,0.5710000000000001,0.649,0.619,0.9279999999999999,0.311,0.662,2022-06-06
12+,2022,18,At least one vaccine dose,0.74,0.784,0.669,0.919,0.465,0.7829999999999999,2022-06-06
65+,2022,18,Completed vaccine series,0.963,1,0.8170000000000001,1,0.927,0.89,2022-06-06
11-May,2022,18,Completed vaccine series,0.35200000000000004,0.243,0.292,0.613,0.21899999999999997,0.287,2022-06-06
5+,2022,18,Completed vaccine series,0.682,0.64,0.568,0.8370000000000001,0.387,0.645,2022-06-06
45-64,2022,18,Completed vaccine series,0.688,0.867,0.657,0.938,0.653,0.828,2022-06-06
19-44,2022,18,Completed vaccine series,0.631,0.64,0.556,0.8059999999999999,0.414,0.696,2022-06-06
18-Dec,2022,18,Completed vaccine series,0.546,0.573,0.557,0.882,0.292,0.603,2022-06-06
12+,2022,18,Completed vaccine series,0.7120000000000001,0.7140000000000001,0.613,0.868,0.43799999999999994,0.716,2022-06-06
65+,2022,17,At least one vaccine dose,0.995,1,0.8440000000000001,1,0.968,0.956,2022-06-06
11-May,2022,17,At least one vaccine dose,0.376,0.292,0.358,0.665,0.24,0.332,2022-06-06
5+,2022,17,At least one vaccine dose,0.71,0.706,0.624,0.888,0.41200000000000003,0.708,2022-06-06
45-64,2022,17,At least one vaccine dose,0.7070000000000001,0.92,0.698,0.98,0.674,0.878,2022-06-06
19-44,2022,17,At least one vaccine dose,0.667,0.7170000000000001,0.623,0.861,0.445,0.7709999999999999,2022-06-06
18-Dec,2022,17,At least one vaccine dose,0.57,0.648,0.618,0.927,0.311,0.6609999999999999,2022-06-06
12+,2022,17,At least one vaccine dose,0.74,0.7829999999999999,0.6679999999999999,0.919,0.46399999999999997,0.782,2022-06-06
65+,2022,17,Completed vaccine series,0.9620000000000001,1,0.8170000000000001,1,0.9259999999999999,0.889,2022-06-06
11-May,2022,17,Completed vaccine series,0.35100000000000003,0.24100000000000002,0.29,0.611,0.218,0.285,2022-06-06
5+,2022,17,Completed vaccine series,0.682,0.639,0.5670000000000001,0.8370000000000001,0.387,0.644,2022-06-06
45-64,2022,17,Completed vaccine series,0.688,0.867,0.6559999999999999,0.937,0.653,0.8270000000000001,2022-06-06
19-44,2022,17,Completed vaccine series,0.631,0.639,0.555,0.805,0.414,0.696,2022-06-06
18-Dec,2022,17,Completed vaccine series,0.546,0.5720000000000001,0.556,0.8809999999999999,0.292,0.602,2022-06-06
12+,2022,17,Completed vaccine series,0.711,0.713,0.613,0.867,0.43799999999999994,0.716,2022-06-06
65+,2022,16,At least one vaccine dose,0.9940000000000001,1,0.843,1,0.9670000000000001,0.9540000000000001,2022-06-06
11-May,2022,16,At least one vaccine dose,0.375,0.29,0.35600000000000004,0.6629999999999999,0.239,0.33,2022-06-06
5+,2022,16,At least one vaccine dose,0.71,0.705,0.622,0.887,0.41200000000000003,0.7070000000000001,2022-06-06
45-64,2022,16,At least one vaccine dose,0.706,0.919,0.698,0.9790000000000001,0.674,0.878,2022-06-06
19-44,2022,16,At least one vaccine dose,0.667,0.715,0.622,0.861,0.445,0.77,2022-06-06
18-Dec,2022,16,At least one vaccine dose,0.57,0.6459999999999999,0.617,0.9259999999999999,0.31,0.66,2022-06-06
12+,2022,16,At least one vaccine dose,0.74,0.782,0.667,0.9179999999999999,0.46399999999999997,0.7809999999999999,2022-06-06
65+,2022,16,Completed vaccine series,0.961,1,0.816,1,0.925,0.888,2022-06-06
11-May,2022,16,Completed vaccine series,0.35,0.239,0.287,0.608,0.218,0.284,2022-06-06
5+,2022,16,Completed vaccine series,0.6809999999999999,0.638,0.565,0.836,0.386,0.644,2022-06-06
45-64,2022,16,Completed vaccine series,0.687,0.866,0.655,0.9359999999999999,0.652,0.8270000000000001,2022-06-06
19-44,2022,16,Completed vaccine series,0.631,0.638,0.5539999999999999,0.805,0.413,0.695,2022-06-06
18-Dec,2022,16,Completed vaccine series,0.546,0.57,0.555,0.88,0.292,0.601,2022-06-06
12+,2022,16,Completed vaccine series,0.711,0.7120000000000001,0.612,0.867,0.43700000000000006,0.715,2022-06-06
65+,2022,15,At least one vaccine dose,0.9940000000000001,1,0.8420000000000001,1,0.9670000000000001,0.953,2022-06-06
11-May,2022,15,At least one vaccine dose,0.374,0.28800000000000003,0.354,0.6609999999999999,0.23800000000000002,0.32899999999999996,2022-06-06
5+,2022,15,At least one vaccine dose,0.7090000000000001,0.703,0.621,0.887,0.41100000000000003,0.706,2022-06-06
45-64,2022,15,At least one vaccine dose,0.706,0.9179999999999999,0.6970000000000001,0.9790000000000001,0.674,0.877,2022-06-06
19-44,2022,15,At least one vaccine dose,0.667,0.7140000000000001,0.62,0.86,0.444,0.769,2022-06-06
18-Dec,2022,15,At least one vaccine dose,0.569,0.644,0.616,0.925,0.31,0.659,2022-06-06
12+,2022,15,At least one vaccine dose,0.7390000000000001,0.7809999999999999,0.665,0.917,0.46399999999999997,0.7809999999999999,2022-06-06
65+,2022,15,Completed vaccine series,0.9590000000000001,1,0.816,1,0.9229999999999999,0.888,2022-06-06
11-May,2022,15,Completed vaccine series,0.349,0.237,0.285,0.605,0.217,0.282,2022-06-06
5+,2022,15,Completed vaccine series,0.6809999999999999,0.637,0.564,0.835,0.386,0.643,2022-06-06
45-64,2022,15,Completed vaccine series,0.687,0.865,0.654,0.9359999999999999,0.652,0.826,2022-06-06
19-44,2022,15,Completed vaccine series,0.631,0.637,0.5529999999999999,0.804,0.413,0.6940000000000001,2022-06-06
18-Dec,2022,15,Completed vaccine series,0.545,0.569,0.5539999999999999,0.879,0.29100000000000004,0.6,2022-06-06
12+,2022,15,Completed vaccine series,0.71,0.711,0.611,0.866,0.43700000000000006,0.7140000000000001,2022-06-06
65+,2022,14,At least one vaccine dose,0.993,1,0.8420000000000001,1,0.9670000000000001,0.9520000000000001,2022-06-06
11-May,2022,14,At least one vaccine dose,0.374,0.28600000000000003,0.353,0.6579999999999999,0.237,0.327,2022-06-06
5+,2022,14,At least one vaccine dose,0.7090000000000001,0.7020000000000001,0.62,0.885,0.41100000000000003,0.705,2022-06-06
45-64,2022,14,At least one vaccine dose,0.706,0.917,0.696,0.978,0.674,0.8759999999999999,2022-06-06
19-44,2022,14,At least one vaccine dose,0.6659999999999999,0.713,0.618,0.8590000000000001,0.444,0.768,2022-06-06
18-Dec,2022,14,At least one vaccine dose,0.569,0.643,0.615,0.924,0.31,0.6579999999999999,2022-06-06
12+,2022,14,At least one vaccine dose,0.7390000000000001,0.779,0.664,0.9159999999999999,0.46299999999999997,0.78,2022-06-06
65+,2022,14,Completed vaccine series,0.958,1,0.8140000000000001,1,0.9209999999999999,0.887,2022-06-06
11-May,2022,14,Completed vaccine series,0.349,0.23399999999999999,0.28300000000000003,0.601,0.21600000000000003,0.281,2022-06-06
5+,2022,14,Completed vaccine series,0.68,0.635,0.563,0.8340000000000001,0.385,0.642,2022-06-06
45-64,2022,14,Completed vaccine series,0.687,0.8640000000000001,0.653,0.9359999999999999,0.6509999999999999,0.826,2022-06-06
19-44,2022,14,Completed vaccine series,0.63,0.635,0.552,0.804,0.413,0.693,2022-06-06
18-Dec,2022,14,Completed vaccine series,0.545,0.5670000000000001,0.5529999999999999,0.878,0.29100000000000004,0.599,2022-06-06
12+,2022,14,Completed vaccine series,0.71,0.71,0.609,0.865,0.436,0.7140000000000001,2022-06-06
65+,2022,13,At least one vaccine dose,0.993,1,0.8420000000000001,1,0.965,0.951,2022-06-06
11-May,2022,13,At least one vaccine dose,0.373,0.28300000000000003,0.35200000000000004,0.655,0.23600000000000002,0.325,2022-06-06
5+,2022,13,At least one vaccine dose,0.7090000000000001,0.7,0.619,0.885,0.41,0.703,2022-06-06
45-64,2022,13,At least one vaccine dose,0.706,0.9159999999999999,0.696,0.978,0.6729999999999999,0.8759999999999999,2022-06-06
19-44,2022,13,At least one vaccine dose,0.6659999999999999,0.7120000000000001,0.617,0.8590000000000001,0.444,0.767,2022-06-06
18-Dec,2022,13,At least one vaccine dose,0.569,0.6409999999999999,0.614,0.9229999999999999,0.309,0.657,2022-06-06
12+,2022,13,At least one vaccine dose,0.7390000000000001,0.778,0.664,0.9159999999999999,0.46299999999999997,0.779,2022-06-06
65+,2022,13,Completed vaccine series,0.9570000000000001,1,0.8140000000000001,1,0.92,0.8859999999999999,2022-06-06
11-May,2022,13,Completed vaccine series,0.348,0.231,0.281,0.597,0.215,0.27899999999999997,2022-06-06
5+,2022,13,Completed vaccine series,0.68,0.633,0.561,0.833,0.385,0.6409999999999999,2022-06-06
45-64,2022,13,Completed vaccine series,0.687,0.863,0.652,0.935,0.6509999999999999,0.825,2022-06-06
19-44,2022,13,Completed vaccine series,0.63,0.634,0.55,0.8029999999999999,0.41200000000000003,0.693,2022-06-06
18-Dec,2022,13,Completed vaccine series,0.544,0.565,0.551,0.877,0.29,0.597,2022-06-06
12+,2022,13,Completed vaccine series,0.7090000000000001,0.708,0.608,0.865,0.436,0.713,2022-06-06
65+,2022,12,At least one vaccine dose,0.993,1,0.8420000000000001,1,0.965,0.95,2022-06-06
11-May,2022,12,At least one vaccine dose,0.37200000000000005,0.28,0.349,0.652,0.235,0.32299999999999995,2022-06-06
5+,2022,12,At least one vaccine dose,0.708,0.6990000000000001,0.618,0.884,0.41,0.7020000000000001,2022-06-06
45-64,2022,12,At least one vaccine dose,0.706,0.915,0.695,0.977,0.6729999999999999,0.875,2022-06-06
19-44,2022,12,At least one vaccine dose,0.6659999999999999,0.71,0.616,0.858,0.44299999999999995,0.7659999999999999,2022-06-06
18-Dec,2022,12,At least one vaccine dose,0.568,0.639,0.612,0.922,0.309,0.6559999999999999,2022-06-06
12+,2022,12,At least one vaccine dose,0.738,0.777,0.662,0.915,0.46299999999999997,0.778,2022-06-06
65+,2022,12,Completed vaccine series,0.956,1,0.8140000000000001,1,0.919,0.885,2022-06-06
11-May,2022,12,Completed vaccine series,0.34700000000000003,0.228,0.278,0.593,0.214,0.276,2022-06-06
5+,2022,12,Completed vaccine series,0.679,0.631,0.56,0.8320000000000001,0.384,0.639,2022-06-06
45-64,2022,12,Completed vaccine series,0.687,0.862,0.6509999999999999,0.935,0.65,0.8240000000000001,2022-06-06
19-44,2022,12,Completed vaccine series,0.63,0.632,0.5479999999999999,0.8029999999999999,0.41200000000000003,0.691,2022-06-06
18-Dec,2022,12,Completed vaccine series,0.544,0.563,0.55,0.875,0.29,0.596,2022-06-06
12+,2022,12,Completed vaccine series,0.7090000000000001,0.706,0.607,0.8640000000000001,0.435,0.711,2022-06-06
65+,2022,11,At least one vaccine dose,0.993,1,0.841,1,0.965,0.95,2022-06-06
11-May,2022,11,At least one vaccine dose,0.371,0.27699999999999997,0.34600000000000003,0.648,0.235,0.321,2022-06-06
5+,2022,11,At least one vaccine dose,0.708,0.6970000000000001,0.616,0.882,0.409,0.701,2022-06-06
45-64,2022,11,At least one vaccine dose,0.705,0.914,0.6940000000000001,0.977,0.672,0.8740000000000001,2022-06-06
19-44,2022,11,At least one vaccine dose,0.665,0.708,0.614,0.857,0.44299999999999995,0.765,2022-06-06
18-Dec,2022,11,At least one vaccine dose,0.568,0.637,0.611,0.9209999999999999,0.308,0.654,2022-06-06
12+,2022,11,At least one vaccine dose,0.738,0.775,0.6609999999999999,0.914,0.462,0.7759999999999999,2022-06-06
65+,2022,11,Completed vaccine series,0.956,1,0.813,1,0.919,0.885,2022-06-06
11-May,2022,11,Completed vaccine series,0.345,0.22399999999999998,0.275,0.586,0.213,0.273,2022-06-06
5+,2022,11,Completed vaccine series,0.679,0.629,0.5579999999999999,0.83,0.38299999999999995,0.638,2022-06-06
45-64,2022,11,Completed vaccine series,0.6859999999999999,0.86,0.65,0.934,0.65,0.8240000000000001,2022-06-06
19-44,2022,11,Completed vaccine series,0.629,0.629,0.546,0.802,0.41100000000000003,0.69,2022-06-06
18-Dec,2022,11,Completed vaccine series,0.5429999999999999,0.56,0.547,0.873,0.289,0.594,2022-06-06
12+,2022,11,Completed vaccine series,0.7090000000000001,0.7040000000000001,0.605,0.863,0.435,0.71,2022-06-06
65+,2022,10,At least one vaccine dose,0.993,1,0.841,1,0.965,0.9490000000000001,2022-06-06
11-May,2022,10,At least one vaccine dose,0.37,0.273,0.344,0.643,0.23399999999999999,0.319,2022-06-06
5+,2022,10,At least one vaccine dose,0.708,0.695,0.615,0.8809999999999999,0.409,0.7,2022-06-06
45-64,2022,10,At least one vaccine dose,0.705,0.9129999999999999,0.6940000000000001,0.976,0.672,0.873,2022-06-06
19-44,2022,10,At least one vaccine dose,0.665,0.706,0.613,0.856,0.44299999999999995,0.764,2022-06-06
18-Dec,2022,10,At least one vaccine dose,0.5670000000000001,0.635,0.61,0.92,0.308,0.653,2022-06-06
12+,2022,10,At least one vaccine dose,0.738,0.774,0.66,0.9129999999999999,0.462,0.775,2022-06-06
65+,2022,10,Completed vaccine series,0.956,1,0.813,1,0.919,0.884,2022-06-06
11-May,2022,10,Completed vaccine series,0.344,0.218,0.272,0.58,0.21100000000000002,0.268,2022-06-06
5+,2022,10,Completed vaccine series,0.6779999999999999,0.626,0.556,0.8290000000000001,0.382,0.636,2022-06-06
45-64,2022,10,Completed vaccine series,0.6859999999999999,0.8590000000000001,0.65,0.934,0.65,0.823,2022-06-06
19-44,2022,10,Completed vaccine series,0.629,0.627,0.544,0.8009999999999999,0.41100000000000003,0.6890000000000001,2022-06-06
18-Dec,2022,10,Completed vaccine series,0.5429999999999999,0.557,0.546,0.871,0.289,0.591,2022-06-06
12+,2022,10,Completed vaccine series,0.708,0.7020000000000001,0.604,0.862,0.434,0.7090000000000001,2022-06-06
65+,2022,9,At least one vaccine dose,0.992,1,0.841,1,0.965,0.948,2022-06-06
11-May,2022,9,At least one vaccine dose,0.369,0.26899999999999996,0.341,0.638,0.23199999999999998,0.316,2022-06-06
5+,2022,9,At least one vaccine dose,0.7070000000000001,0.693,0.614,0.88,0.408,0.698,2022-06-06
45-64,2022,9,At least one vaccine dose,0.705,0.912,0.693,0.975,0.6709999999999999,0.872,2022-06-06
19-44,2022,9,At least one vaccine dose,0.665,0.7040000000000001,0.611,0.856,0.442,0.762,2022-06-06
18-Dec,2022,9,At least one vaccine dose,0.5670000000000001,0.632,0.609,0.9179999999999999,0.307,0.6509999999999999,2022-06-06
12+,2022,9,At least one vaccine dose,0.738,0.772,0.659,0.9129999999999999,0.461,0.774,2022-06-06
65+,2022,9,Completed vaccine series,0.956,1,0.812,1,0.9179999999999999,0.884,2022-06-06
11-May,2022,9,Completed vaccine series,0.342,0.212,0.27,0.5720000000000001,0.209,0.263,2022-06-06
5+,2022,9,Completed vaccine series,0.6779999999999999,0.623,0.5539999999999999,0.8270000000000001,0.381,0.633,2022-06-06
45-64,2022,9,Completed vaccine series,0.6859999999999999,0.857,0.648,0.9329999999999999,0.649,0.8220000000000001,2022-06-06
19-44,2022,9,Completed vaccine series,0.628,0.623,0.542,0.8,0.41,0.687,2022-06-06
18-Dec,2022,9,Completed vaccine series,0.542,0.5529999999999999,0.5429999999999999,0.8690000000000001,0.28800000000000003,0.588,2022-06-06
12+,2022,9,Completed vaccine series,0.708,0.6990000000000001,0.602,0.861,0.433,0.7070000000000001,2022-06-06
65+,2022,8,At least one vaccine dose,0.992,1,0.84,1,0.9640000000000001,0.948,2022-06-06
11-May,2022,8,At least one vaccine dose,0.368,0.264,0.33799999999999997,0.633,0.23,0.312,2022-06-06
5+,2022,8,At least one vaccine dose,0.7070000000000001,0.69,0.612,0.878,0.40700000000000003,0.696,2022-06-06
45-64,2022,8,At least one vaccine dose,0.705,0.9109999999999999,0.693,0.975,0.6709999999999999,0.871,2022-06-06
19-44,2022,8,At least one vaccine dose,0.664,0.701,0.609,0.855,0.441,0.7609999999999999,2022-06-06
18-Dec,2022,8,At least one vaccine dose,0.5660000000000001,0.629,0.606,0.9159999999999999,0.307,0.649,2022-06-06
12+,2022,8,At least one vaccine dose,0.737,0.769,0.6579999999999999,0.912,0.461,0.772,2022-06-06
65+,2022,8,Completed vaccine series,0.956,1,0.812,1,0.9179999999999999,0.883,2022-06-06
11-May,2022,8,Completed vaccine series,0.33799999999999997,0.20199999999999999,0.261,0.5579999999999999,0.205,0.254,2022-06-06
5+,2022,8,Completed vaccine series,0.677,0.618,0.551,0.8240000000000001,0.38,0.63,2022-06-06
45-64,2022,8,Completed vaccine series,0.685,0.855,0.647,0.9329999999999999,0.648,0.821,2022-06-06
19-44,2022,8,Completed vaccine series,0.627,0.619,0.539,0.7979999999999999,0.409,0.684,2022-06-06
18-Dec,2022,8,Completed vaccine series,0.54,0.5479999999999999,0.539,0.866,0.28600000000000003,0.585,2022-06-06
12+,2022,8,Completed vaccine series,0.7070000000000001,0.696,0.599,0.86,0.43200000000000005,0.7040000000000001,2022-06-06
65+,2022,7,At least one vaccine dose,0.992,1,0.84,1,0.9640000000000001,0.9470000000000001,2022-06-06
11-May,2022,7,At least one vaccine dose,0.366,0.258,0.335,0.625,0.228,0.307,2022-06-06
5+,2022,7,At least one vaccine dose,0.706,0.687,0.61,0.8759999999999999,0.406,0.6940000000000001,2022-06-06
45-64,2022,7,At least one vaccine dose,0.705,0.909,0.6920000000000001,0.9740000000000001,0.6709999999999999,0.87,2022-06-06
19-44,2022,7,At least one vaccine dose,0.664,0.698,0.607,0.853,0.441,0.759,2022-06-06
18-Dec,2022,7,At least one vaccine dose,0.565,0.625,0.603,0.914,0.306,0.6459999999999999,2022-06-06
12+,2022,7,At least one vaccine dose,0.737,0.767,0.6559999999999999,0.91,0.46,0.7709999999999999,2022-06-06
65+,2022,7,Completed vaccine series,0.955,1,0.8109999999999999,1,0.9179999999999999,0.882,2022-06-06
11-May,2022,7,Completed vaccine series,0.33,0.18600000000000003,0.247,0.526,0.19899999999999998,0.23800000000000002,2022-06-06
5+,2022,7,Completed vaccine series,0.675,0.612,0.547,0.818,0.377,0.624,2022-06-06
45-64,2022,7,Completed vaccine series,0.685,0.853,0.645,0.932,0.647,0.8190000000000001,2022-06-06
19-44,2022,7,Completed vaccine series,0.626,0.614,0.536,0.7959999999999999,0.40700000000000003,0.6809999999999999,2022-06-06
18-Dec,2022,7,Completed vaccine series,0.5379999999999999,0.54,0.535,0.8590000000000001,0.285,0.58,2022-06-06
12+,2022,7,Completed vaccine series,0.706,0.691,0.597,0.857,0.431,0.701,2022-06-06
65+,2022,6,At least one vaccine dose,0.992,1,0.84,1,0.963,0.946,2022-06-06
11-May,2022,6,At least one vaccine dose,0.364,0.251,0.32899999999999996,0.616,0.226,0.299,2022-06-06
5+,2022,6,At least one vaccine dose,0.706,0.6829999999999999,0.607,0.8740000000000001,0.405,0.69,2022-06-06
45-64,2022,6,At least one vaccine dose,0.7040000000000001,0.907,0.69,0.973,0.67,0.8690000000000001,2022-06-06
19-44,2022,6,At least one vaccine dose,0.6629999999999999,0.695,0.604,0.852,0.44,0.7559999999999999,2022-06-06
18-Dec,2022,6,At least one vaccine dose,0.564,0.621,0.6,0.912,0.305,0.642,2022-06-06
12+,2022,6,At least one vaccine dose,0.736,0.763,0.654,0.909,0.45899999999999996,0.768,2022-06-06
65+,2022,6,Completed vaccine series,0.955,1,0.8109999999999999,1,0.9179999999999999,0.8809999999999999,2022-06-06
11-May,2022,6,Completed vaccine series,0.322,0.172,0.233,0.493,0.192,0.22,2022-06-06
5+,2022,6,Completed vaccine series,0.674,0.606,0.542,0.8109999999999999,0.374,0.618,2022-06-06
45-64,2022,6,Completed vaccine series,0.684,0.85,0.643,0.93,0.6459999999999999,0.816,2022-06-06
19-44,2022,6,Completed vaccine series,0.625,0.609,0.5329999999999999,0.7929999999999999,0.406,0.6759999999999999,2022-06-06
18-Dec,2022,6,Completed vaccine series,0.536,0.5329999999999999,0.53,0.852,0.28300000000000003,0.573,2022-06-06
12+,2022,6,Completed vaccine series,0.705,0.687,0.594,0.8540000000000001,0.43,0.6970000000000001,2022-06-06
65+,2022,5,At least one vaccine dose,0.992,1,0.84,1,0.963,0.945,2022-06-06
11-May,2022,5,At least one vaccine dose,0.36,0.24,0.322,0.601,0.223,0.29100000000000004,2022-06-06
5+,2022,5,At least one vaccine dose,0.705,0.6779999999999999,0.604,0.87,0.40299999999999997,0.6859999999999999,2022-06-06
45-64,2022,5,At least one vaccine dose,0.7040000000000001,0.905,0.6890000000000001,0.972,0.669,0.867,2022-06-06
19-44,2022,5,At least one vaccine dose,0.662,0.69,0.601,0.85,0.43799999999999994,0.752,2022-06-06
18-Dec,2022,5,At least one vaccine dose,0.563,0.615,0.596,0.909,0.304,0.638,2022-06-06
12+,2022,5,At least one vaccine dose,0.736,0.759,0.6509999999999999,0.907,0.45799999999999996,0.764,2022-06-06
65+,2022,5,Completed vaccine series,0.955,1,0.81,1,0.917,0.8809999999999999,2022-06-06
11-May,2022,5,Completed vaccine series,0.312,0.156,0.221,0.46299999999999997,0.18600000000000003,0.204,2022-06-06
5+,2022,5,Completed vaccine series,0.672,0.599,0.5379999999999999,0.805,0.371,0.611,2022-06-06
45-64,2022,5,Completed vaccine series,0.6829999999999999,0.847,0.6409999999999999,0.929,0.644,0.8140000000000001,2022-06-06
19-44,2022,5,Completed vaccine series,0.623,0.604,0.528,0.79,0.40399999999999997,0.6709999999999999,2022-06-06
18-Dec,2022,5,Completed vaccine series,0.5329999999999999,0.525,0.525,0.845,0.281,0.5660000000000001,2022-06-06
12+,2022,5,Completed vaccine series,0.7040000000000001,0.6809999999999999,0.591,0.851,0.428,0.6920000000000001,2022-06-06
