product,doses_shipped,filed_date,report_date,is_ltc
Johnson & Johnson,191200,2022-04-08,2022-04-11,Long-term care
Moderna,2438360,2022-04-07,2022-04-08,General population
Pfizer,4694560,2022-04-07,2022-04-08,General population
Johnson & Johnson,311800,2022-04-07,2022-04-08,General population
Moderna,1927260,2022-04-07,2022-04-08,Long-term care
Pfizer,2727960,2022-04-07,2022-04-08,Long-term care
Johnson & Johnson,191000,2022-04-07,2022-04-08,Long-term care
Moderna,2428860,2022-04-06,2022-04-07,General population
Pfizer,4685260,2022-04-06,2022-04-07,General population
Johnson & Johnson,311800,2022-04-06,2022-04-07,General population
Moderna,1923060,2022-04-06,2022-04-07,Long-term care
Pfizer,2717060,2022-04-06,2022-04-07,Long-term care
Johnson & Johnson,191000,2022-04-06,2022-04-07,Long-term care
Moderna,2425360,2022-04-05,2022-04-06,General population
Pfizer,4676260,2022-04-05,2022-04-06,General population
Johnson & Johnson,311800,2022-04-05,2022-04-06,General population
Moderna,1917760,2022-04-05,2022-04-06,Long-term care
Pfizer,2713560,2022-04-05,2022-04-06,Long-term care
Johnson & Johnson,190900,2022-04-05,2022-04-06,Long-term care
Moderna,2424160,2022-04-04,2022-04-05,General population
Pfizer,4667260,2022-04-04,2022-04-05,General population
Johnson & Johnson,311800,2022-04-04,2022-04-05,General population
Moderna,1916460,2022-04-04,2022-04-05,Long-term care
Pfizer,2705160,2022-04-04,2022-04-05,Long-term care
Johnson & Johnson,190900,2022-04-04,2022-04-05,Long-term care
Moderna,2422960,2022-04-01,2022-04-04,General population
Pfizer,4660760,2022-04-01,2022-04-04,General population
Johnson & Johnson,311800,2022-04-01,2022-04-04,General population
Moderna,1915860,2022-04-01,2022-04-04,Long-term care
Pfizer,2680260,2022-04-01,2022-04-04,Long-term care
Johnson & Johnson,190800,2022-04-01,2022-04-04,Long-term care
Moderna,2418860,2022-03-31,2022-04-01,General population
Pfizer,4661060,2022-03-31,2022-04-01,General population
Johnson & Johnson,311800,2022-03-31,2022-04-01,General population
Moderna,1903560,2022-03-31,2022-04-01,Long-term care
Pfizer,2680260,2022-03-31,2022-04-01,Long-term care
Johnson & Johnson,190800,2022-03-31,2022-04-01,Long-term care
Moderna,2417160,2022-03-30,2022-03-31,General population
Pfizer,4657460,2022-03-30,2022-03-31,General population
Johnson & Johnson,311800,2022-03-30,2022-03-31,General population
Moderna,1884360,2022-03-30,2022-03-31,Long-term care
Pfizer,2676060,2022-03-30,2022-03-31,Long-term care
Johnson & Johnson,190800,2022-03-30,2022-03-31,Long-term care
Moderna,2410660,2022-03-29,2022-03-30,General population
Pfizer,4656860,2022-03-29,2022-03-30,General population
Johnson & Johnson,311800,2022-03-29,2022-03-30,General population
Moderna,1879360,2022-03-29,2022-03-30,Long-term care
Pfizer,2675160,2022-03-29,2022-03-30,Long-term care
Johnson & Johnson,190800,2022-03-29,2022-03-30,Long-term care
Moderna,2408460,2022-03-28,2022-03-29,General population
Pfizer,4656860,2022-03-28,2022-03-29,General population
Johnson & Johnson,311800,2022-03-28,2022-03-29,General population
Moderna,1877560,2022-03-28,2022-03-29,Long-term care
Pfizer,2672960,2022-03-28,2022-03-29,Long-term care
Johnson & Johnson,190700,2022-03-28,2022-03-29,Long-term care
Moderna,2408160,2022-03-25,2022-03-28,General population
Pfizer,4652260,2022-03-25,2022-03-28,General population
Johnson & Johnson,311800,2022-03-25,2022-03-28,General population
Moderna,1876260,2022-03-25,2022-03-28,Long-term care
Pfizer,2669260,2022-03-25,2022-03-28,Long-term care
Johnson & Johnson,190400,2022-03-25,2022-03-28,Long-term care
Moderna,2407860,2022-03-24,2022-03-25,General population
Pfizer,4651960,2022-03-24,2022-03-25,General population
Johnson & Johnson,311800,2022-03-24,2022-03-25,General population
Moderna,1873460,2022-03-24,2022-03-25,Long-term care
Pfizer,2662960,2022-03-24,2022-03-25,Long-term care
Johnson & Johnson,190000,2022-03-24,2022-03-25,Long-term care
Moderna,2406960,2022-03-23,2022-03-24,General population
Pfizer,4651060,2022-03-23,2022-03-24,General population
Johnson & Johnson,311800,2022-03-23,2022-03-24,General population
Moderna,1872260,2022-03-23,2022-03-24,Long-term care
Pfizer,2661460,2022-03-23,2022-03-24,Long-term care
Johnson & Johnson,190000,2022-03-23,2022-03-24,Long-term care
Moderna,2404060,2022-03-22,2022-03-23,General population
Pfizer,4648960,2022-03-22,2022-03-23,General population
Johnson & Johnson,311800,2022-03-22,2022-03-23,General population
Moderna,1869560,2022-03-22,2022-03-23,Long-term care
Pfizer,2660260,2022-03-22,2022-03-23,Long-term care
Johnson & Johnson,189600,2022-03-22,2022-03-23,Long-term care
Moderna,2402960,2022-03-21,2022-03-22,General population
Pfizer,4648360,2022-03-21,2022-03-22,General population
Johnson & Johnson,311800,2022-03-21,2022-03-22,General population
Moderna,1868460,2022-03-21,2022-03-22,Long-term care
Pfizer,2659660,2022-03-21,2022-03-22,Long-term care
Johnson & Johnson,189600,2022-03-21,2022-03-22,Long-term care
Moderna,2402260,2022-03-18,2022-03-21,General population
Pfizer,4647060,2022-03-18,2022-03-21,General population
Johnson & Johnson,311800,2022-03-18,2022-03-21,General population
Moderna,1868360,2022-03-18,2022-03-21,Long-term care
Pfizer,2652260,2022-03-18,2022-03-21,Long-term care
Johnson & Johnson,189600,2022-03-18,2022-03-21,Long-term care
Moderna,2401660,2022-03-17,2022-03-18,General population
Pfizer,4645460,2022-03-17,2022-03-18,General population
Johnson & Johnson,311800,2022-03-17,2022-03-18,General population
Moderna,1866860,2022-03-17,2022-03-18,Long-term care
Pfizer,2649160,2022-03-17,2022-03-18,Long-term care
Johnson & Johnson,189500,2022-03-17,2022-03-18,Long-term care
Moderna,2401260,2022-03-16,2022-03-17,General population
Pfizer,4642860,2022-03-16,2022-03-17,General population
Johnson & Johnson,311800,2022-03-16,2022-03-17,General population
Moderna,1864460,2022-03-16,2022-03-17,Long-term care
Pfizer,2645560,2022-03-16,2022-03-17,Long-term care
Johnson & Johnson,189300,2022-03-16,2022-03-17,Long-term care
Moderna,2399960,2022-03-15,2022-03-16,General population
Pfizer,4642360,2022-03-15,2022-03-16,General population
Johnson & Johnson,311800,2022-03-15,2022-03-16,General population
Moderna,1860560,2022-03-15,2022-03-16,Long-term care
Pfizer,2644560,2022-03-15,2022-03-16,Long-term care
Johnson & Johnson,189200,2022-03-15,2022-03-16,Long-term care
Moderna,2399360,2022-03-14,2022-03-15,General population
Pfizer,4641760,2022-03-14,2022-03-15,General population
Johnson & Johnson,311800,2022-03-14,2022-03-15,General population
Moderna,1858400,2022-03-14,2022-03-15,Long-term care
Pfizer,2642860,2022-03-14,2022-03-15,Long-term care
Johnson & Johnson,189200,2022-03-14,2022-03-15,Long-term care
Moderna,2398660,2022-03-11,2022-03-14,General population
Pfizer,4640760,2022-03-11,2022-03-14,General population
Johnson & Johnson,311800,2022-03-11,2022-03-14,General population
Moderna,1857700,2022-03-11,2022-03-14,Long-term care
Pfizer,2637760,2022-03-11,2022-03-14,Long-term care
Johnson & Johnson,189200,2022-03-11,2022-03-14,Long-term care
Moderna,2398660,2022-03-10,2022-03-11,General population
Pfizer,4639960,2022-03-10,2022-03-11,General population
Johnson & Johnson,311800,2022-03-10,2022-03-11,General population
Moderna,1855600,2022-03-10,2022-03-11,Long-term care
Pfizer,2634860,2022-03-10,2022-03-11,Long-term care
Johnson & Johnson,189200,2022-03-10,2022-03-11,Long-term care
Moderna,2398260,2022-03-09,2022-03-10,General population
Pfizer,4638460,2022-03-09,2022-03-10,General population
Johnson & Johnson,311800,2022-03-09,2022-03-10,General population
Moderna,1854500,2022-03-09,2022-03-10,Long-term care
Pfizer,2631960,2022-03-09,2022-03-10,Long-term care
Johnson & Johnson,189200,2022-03-09,2022-03-10,Long-term care
Moderna,2396460,2022-03-08,2022-03-09,General population
Pfizer,4638160,2022-03-08,2022-03-09,General population
Johnson & Johnson,311800,2022-03-08,2022-03-09,General population
Moderna,1851600,2022-03-08,2022-03-09,Long-term care
Pfizer,2629760,2022-03-08,2022-03-09,Long-term care
Johnson & Johnson,189200,2022-03-08,2022-03-09,Long-term care
Moderna,2395260,2022-03-07,2022-03-08,General population
Pfizer,4636160,2022-03-07,2022-03-08,General population
Johnson & Johnson,311800,2022-03-07,2022-03-08,General population
Moderna,1849700,2022-03-07,2022-03-08,Long-term care
Pfizer,2629460,2022-03-07,2022-03-08,Long-term care
Johnson & Johnson,188900,2022-03-07,2022-03-08,Long-term care
Moderna,2394660,2022-03-04,2022-03-05,General population
Pfizer,4635260,2022-03-04,2022-03-05,General population
Johnson & Johnson,311800,2022-03-04,2022-03-05,General population
Moderna,1849500,2022-03-04,2022-03-05,Long-term care
Pfizer,2625860,2022-03-04,2022-03-05,Long-term care
Johnson & Johnson,188900,2022-03-04,2022-03-05,Long-term care
Moderna,2394660,2022-03-03,2022-03-04,General population
Pfizer,4633660,2022-03-03,2022-03-04,General population
Johnson & Johnson,311800,2022-03-03,2022-03-04,General population
Moderna,1847600,2022-03-03,2022-03-04,Long-term care
Pfizer,2621160,2022-03-03,2022-03-04,Long-term care
Johnson & Johnson,188900,2022-03-03,2022-03-04,Long-term care
Moderna,2394660,2022-03-02,2022-03-03,General population
Pfizer,4627260,2022-03-02,2022-03-03,General population
Johnson & Johnson,311800,2022-03-02,2022-03-03,General population
Moderna,1845400,2022-03-02,2022-03-03,Long-term care
Pfizer,2619360,2022-03-02,2022-03-03,Long-term care
Johnson & Johnson,188900,2022-03-02,2022-03-03,Long-term care
Moderna,2391360,2022-03-01,2022-03-02,General population
Pfizer,4624660,2022-03-01,2022-03-02,General population
Johnson & Johnson,311800,2022-03-01,2022-03-02,General population
Moderna,1840600,2022-03-01,2022-03-02,Long-term care
Pfizer,2615860,2022-03-01,2022-03-02,Long-term care
Johnson & Johnson,188900,2022-03-01,2022-03-02,Long-term care
Moderna,2390460,2022-02-28,2022-03-01,General population
Pfizer,4624260,2022-02-28,2022-03-01,General population
Johnson & Johnson,311800,2022-02-28,2022-03-01,General population
Moderna,1839700,2022-02-28,2022-03-01,Long-term care
Pfizer,2614660,2022-02-28,2022-03-01,Long-term care
Johnson & Johnson,188900,2022-02-28,2022-03-01,Long-term care
Moderna,2390260,2022-02-25,2022-02-26,General population
Pfizer,4620360,2022-02-25,2022-02-26,General population
Johnson & Johnson,311800,2022-02-25,2022-02-26,General population
Moderna,1838900,2022-02-25,2022-02-26,Long-term care
Pfizer,2608960,2022-02-25,2022-02-26,Long-term care
Johnson & Johnson,188900,2022-02-25,2022-02-26,Long-term care
Moderna,2390160,2022-02-24,2022-02-25,General population
Pfizer,4615660,2022-02-24,2022-02-25,General population
Johnson & Johnson,311800,2022-02-24,2022-02-25,General population
Moderna,1835800,2022-02-24,2022-02-25,Long-term care
Pfizer,2606260,2022-02-24,2022-02-25,Long-term care
Johnson & Johnson,188900,2022-02-24,2022-02-25,Long-term care
Moderna,2380960,2022-02-23,2022-02-24,General population
Pfizer,4609360,2022-02-23,2022-02-24,General population
Johnson & Johnson,311800,2022-02-23,2022-02-24,General population
Moderna,1834200,2022-02-23,2022-02-24,Long-term care
Pfizer,2597860,2022-02-23,2022-02-24,Long-term care
Johnson & Johnson,188900,2022-02-23,2022-02-24,Long-term care
Moderna,2380960,2022-02-22,2022-02-23,General population
Pfizer,4609360,2022-02-22,2022-02-23,General population
Johnson & Johnson,311800,2022-02-22,2022-02-23,General population
Moderna,1824900,2022-02-22,2022-02-23,Long-term care
Pfizer,2597760,2022-02-22,2022-02-23,Long-term care
Johnson & Johnson,188500,2022-02-22,2022-02-23,Long-term care
Moderna,2380760,2022-02-17,2022-02-18,General population
Pfizer,4599460,2022-02-17,2022-02-18,General population
Johnson & Johnson,311800,2022-02-17,2022-02-18,General population
Moderna,1821100,2022-02-17,2022-02-18,Long-term care
Pfizer,2582360,2022-02-17,2022-02-18,Long-term care
Johnson & Johnson,188400,2022-02-17,2022-02-18,Long-term care
Moderna,2378860,2022-02-16,2022-02-17,General population
Pfizer,4598160,2022-02-16,2022-02-17,General population
Johnson & Johnson,311800,2022-02-16,2022-02-17,General population
Moderna,1818400,2022-02-16,2022-02-17,Long-term care
Pfizer,2577560,2022-02-16,2022-02-17,Long-term care
Johnson & Johnson,188400,2022-02-16,2022-02-17,Long-term care
Moderna,2374160,2022-02-15,2022-02-16,General population
Pfizer,4590160,2022-02-15,2022-02-16,General population
Johnson & Johnson,311800,2022-02-15,2022-02-16,General population
Moderna,1813300,2022-02-15,2022-02-16,Long-term care
Pfizer,2576660,2022-02-15,2022-02-16,Long-term care
Johnson & Johnson,188300,2022-02-15,2022-02-16,Long-term care
Moderna,2374060,2022-02-14,2022-02-15,General population
Pfizer,4587960,2022-02-14,2022-02-15,General population
Johnson & Johnson,311800,2022-02-14,2022-02-15,General population
Moderna,1811700,2022-02-14,2022-02-15,Long-term care
Pfizer,2574860,2022-02-14,2022-02-15,Long-term care
Johnson & Johnson,188100,2022-02-14,2022-02-15,Long-term care
Moderna,2372560,2022-02-11,2022-02-14,General population
Pfizer,4583760,2022-02-11,2022-02-14,General population
Johnson & Johnson,311800,2022-02-11,2022-02-14,General population
Moderna,1810500,2022-02-11,2022-02-14,Long-term care
Pfizer,2568460,2022-02-11,2022-02-14,Long-term care
Johnson & Johnson,188000,2022-02-11,2022-02-14,Long-term care
Moderna,2372160,2022-02-10,2022-02-11,General population
Pfizer,4580860,2022-02-10,2022-02-11,General population
Johnson & Johnson,311800,2022-02-10,2022-02-11,General population
Moderna,1807100,2022-02-10,2022-02-11,Long-term care
Pfizer,2560660,2022-02-10,2022-02-11,Long-term care
Johnson & Johnson,187700,2022-02-10,2022-02-11,Long-term care
Moderna,2371760,2022-02-09,2022-02-10,General population
Pfizer,4572760,2022-02-09,2022-02-10,General population
Johnson & Johnson,311800,2022-02-09,2022-02-10,General population
Moderna,1804300,2022-02-09,2022-02-10,Long-term care
Pfizer,2557560,2022-02-09,2022-02-10,Long-term care
Johnson & Johnson,187700,2022-02-09,2022-02-10,Long-term care
Moderna,2368760,2022-02-08,2022-02-09,General population
Pfizer,4571560,2022-02-08,2022-02-09,General population
Johnson & Johnson,311800,2022-02-08,2022-02-09,General population
Moderna,1798300,2022-02-08,2022-02-09,Long-term care
Pfizer,2551960,2022-02-08,2022-02-09,Long-term care
Johnson & Johnson,187600,2022-02-08,2022-02-09,Long-term care
Moderna,2365160,2022-02-07,2022-02-08,General population
Pfizer,4560160,2022-02-07,2022-02-08,General population
Johnson & Johnson,311800,2022-02-07,2022-02-08,General population
Moderna,1791300,2022-02-07,2022-02-08,Long-term care
Pfizer,2544360,2022-02-07,2022-02-08,Long-term care
Johnson & Johnson,187200,2022-02-07,2022-02-08,Long-term care
Moderna,2356860,2022-02-04,2022-02-05,General population
Pfizer,4557060,2022-02-04,2022-02-05,General population
Johnson & Johnson,311800,2022-02-04,2022-02-05,General population
Moderna,1782500,2022-02-04,2022-02-05,Long-term care
Pfizer,2538360,2022-02-04,2022-02-05,Long-term care
Johnson & Johnson,186500,2022-02-04,2022-02-05,Long-term care
Moderna,2356860,2022-02-03,2022-02-04,General population
Pfizer,4557060,2022-02-03,2022-02-04,General population
Johnson & Johnson,311800,2022-02-03,2022-02-04,General population
Moderna,1782500,2022-02-03,2022-02-04,Long-term care
Pfizer,2533960,2022-02-03,2022-02-04,Long-term care
Johnson & Johnson,186500,2022-02-03,2022-02-04,Long-term care
Moderna,2356860,2022-02-02,2022-02-03,General population
Pfizer,4549260,2022-02-02,2022-02-03,General population
Johnson & Johnson,311800,2022-02-02,2022-02-03,General population
Moderna,1782500,2022-02-02,2022-02-03,Long-term care
Pfizer,2530360,2022-02-02,2022-02-03,Long-term care
Johnson & Johnson,186500,2022-02-02,2022-02-03,Long-term care
Moderna,2356160,2022-02-01,2022-02-02,General population
Pfizer,4540660,2022-02-01,2022-02-02,General population
Johnson & Johnson,311800,2022-02-01,2022-02-02,General population
Moderna,1777200,2022-02-01,2022-02-02,Long-term care
Pfizer,2524460,2022-02-01,2022-02-02,Long-term care
Johnson & Johnson,186400,2022-02-01,2022-02-02,Long-term care
Moderna,2350160,2022-01-31,2022-02-01,General population
