date,percent_available,region_name,bed_type,total_capacity,total_available,in_use,percent_in_use,report_date
2022-05-18,0.055555556,Southwest,Pediatrics,18,1,17,0.944444444,2023-11-09
2022-01-28,0.19047619,Southwest,Adult Intensive Care Unit,21,4,17,0.80952381,2023-11-09
2022-03-25,0.10546875,Central,Medical and Surgical,768,81,687,0.89453125,2023-11-09
2022-02-24,0.304347826,South Central,Adult Intensive Care Unit,23,7,16,0.695652174,2023-11-09
2022-10-16,0.25,West Central,Pediatrics,8,2,6,0.75,2023-11-09
2022-07-07,0.00909376,Metro,Medical and Surgical,3189,29,3160,0.99090624,2023-11-09
2023-06-13,0.117647059,Northeast,Pediatrics,34,4,30,0.882352941,2023-11-09
2022-11-12,0.090909091,Northeast,Adult Intensive Care Unit,88,8,80,0.909090909,2023-11-09
2022-12-19,0.140909091,Northwest,Medical and Surgical,220,31,189,0.859090909,2023-11-09
2022-10-17,0.125,Northeast,Adult Intensive Care Unit,88,11,77,0.875,2023-11-09
2022-01-10,0.086956522,South Central,Adult Intensive Care Unit,23,2,21,0.913043478,2023-11-09
2022-10-19,0.029608405,Southeast,Medical and Surgical,1047,31,1016,0.970391595,2023-11-09
2023-03-05,0.277777778,Southwest,Adult Intensive Care Unit,18,5,13,0.722222222,2023-11-09
2021-11-05,0.122270742,Northwest,Medical and Surgical,229,28,201,0.877729258,2023-11-09
2022-01-08,0.009090909,Metro,Pediatric Intensive Care Unit,110,1,109,0.990909091,2023-11-09
2021-02-14,0.189473684,Northeast,Adult Intensive Care Unit,95,18,77,0.810526316,2023-11-09
2020-11-28,0.571428571,Northeast,Pediatric Intensive Care Unit,7,4,3,0.428571429,2023-11-09
2021-10-05,0.426315789,West Central,Medical and Surgical,190,81,109,0.573684211,2023-11-09
2022-07-27,0.142857143,Northeast,Pediatric Intensive Care Unit,7,1,6,0.857142857,2023-11-09
2020-10-21,0.285714286,Northeast,Pediatric Intensive Care Unit,7,2,5,0.714285714,2023-11-09
2022-05-09,0.095238095,Northeast,Pediatrics,42,4,38,0.904761905,2023-11-09
2021-02-16,0.076923077,Southeast,Pediatrics,65,5,60,0.923076923,2023-11-09
2023-03-28,0.25,South Central,Pediatrics,4,1,3,0.75,2023-11-09
2022-09-15,0.111111111,Southwest,Pediatrics,18,2,16,0.888888889,2023-11-09
2023-06-21,0.625,West Central,Pediatrics,8,5,3,0.375,2023-11-09
2022-07-23,0,South Central,Pediatrics,4,0,4,1,2023-11-09
2022-10-21,0.027504912,Metro,Adult Intensive Care Unit,509,14,495,0.972495088,2023-11-09
2020-12-13,0.857142857,Northeast,Pediatric Intensive Care Unit,7,6,1,0.142857143,2023-11-09
2021-02-13,0.060553633,Metro,Adult Intensive Care Unit,578,35,543,0.939446367,2023-11-09
2022-04-15,0.2,West Central,Pediatrics,10,2,8,0.8,2023-11-09
2021-11-15,0.079365079,Southeast,Pediatrics,63,5,58,0.920634921,2023-11-09
2023-02-28,0.25,South Central,Adult Intensive Care Unit,32,8,24,0.75,2023-11-09
2022-09-22,0.147058824,Northeast,Pediatrics,34,5,29,0.852941176,2023-11-09
2023-03-12,0.00909376,Metro,Medical and Surgical,3189,29,3160,0.99090624,2023-11-09
2021-07-09,0.285714286,Northwest,Pediatrics,7,2,5,0.714285714,2023-11-09
2023-04-05,0.010975227,Metro,Medical and Surgical,3189,35,3154,0.989024773,2023-11-09
2021-10-22,0.142857143,Southeast,Pediatrics,63,9,54,0.857142857,2023-11-09
2020-11-09,0.714285714,Northeast,Pediatric Intensive Care Unit,7,5,2,0.285714286,2023-11-09
2022-12-14,0.054834055,Central,Medical and Surgical,693,38,655,0.945165945,2023-11-09
2021-12-02,0.080291971,Northeast,Medical and Surgical,685,55,630,0.919708029,2023-11-09
2023-06-26,0.25,Central,Pediatric Intensive Care Unit,4,1,3,0.75,2023-11-09
2023-07-30,0.316939891,West Central,Medical and Surgical,183,58,125,0.683060109,2023-11-09
2023-03-20,0.25,South Central,Pediatrics,4,1,3,0.75,2023-11-09
2023-02-20,0.277777778,Southwest,Adult Intensive Care Unit,18,5,13,0.722222222,2023-11-09
2022-08-26,0.285714286,Northeast,Pediatric Intensive Care Unit,7,2,5,0.714285714,2023-11-09
2023-02-06,0.125,Southwest,Pediatrics,16,2,14,0.875,2023-11-09
2021-06-22,0.254901961,Central,Adult Intensive Care Unit,102,26,76,0.745098039,2023-11-09
2020-10-18,0,Northwest,Pediatrics,8,0,8,1,2023-11-09
2023-03-19,0.21875,South Central,Adult Intensive Care Unit,32,7,25,0.78125,2023-11-09
2022-10-27,0.044733045,Central,Medical and Surgical,693,31,662,0.955266955,2023-11-09
2022-06-29,0.25,South Central,Pediatrics,4,1,3,0.75,2023-11-09
2022-07-15,0.016933208,Metro,Medical and Surgical,3189,54,3135,0.983066792,2023-11-09
2022-11-15,0.258785942,Southwest,Medical and Surgical,313,81,232,0.741214058,2023-11-09
2023-02-07,0.388888889,Southwest,Adult Intensive Care Unit,18,7,11,0.611111111,2023-11-09
2021-02-01,0.084210526,Northeast,Adult Intensive Care Unit,95,8,87,0.915789474,2023-11-09
2023-01-12,0.294117647,Northeast,Pediatrics,34,10,24,0.705882353,2023-11-09
2022-01-15,0.142857143,Southwest,Adult Intensive Care Unit,21,3,18,0.857142857,2023-11-09
2022-08-15,0.428571429,Northeast,Pediatric Intensive Care Unit,7,3,4,0.571428571,2023-11-09
2020-12-25,0.178947368,Northeast,Adult Intensive Care Unit,95,17,78,0.821052632,2023-11-09
2022-11-26,0.074712644,Northeast,Medical and Surgical,696,52,644,0.925287356,2023-11-09
2023-07-02,0.093795094,Central,Medical and Surgical,693,65,628,0.906204906,2023-11-09
2021-02-24,0.061538462,Southeast,Pediatrics,65,4,61,0.938461538,2023-11-09
2021-09-01,0.2,Central,Pediatric Intensive Care Unit,5,1,4,0.8,2023-11-09
2021-12-12,0.095238095,Southwest,Adult Intensive Care Unit,21,2,19,0.904761905,2023-11-09
2022-08-02,0.027504912,Metro,Adult Intensive Care Unit,509,14,495,0.972495088,2023-11-09
2020-09-15,0.6,West Central,Adult Intensive Care Unit,20,12,8,0.4,2023-11-09
2022-11-17,0.142857143,Northeast,Pediatric Intensive Care Unit,7,1,6,0.857142857,2023-11-09
2021-02-11,0.428571429,Northeast,Pediatric Intensive Care Unit,7,3,4,0.571428571,2023-11-09
2022-12-11,0.09375,South Central,Adult Intensive Care Unit,32,3,29,0.90625,2023-11-09
2021-11-18,0.130434783,South Central,Adult Intensive Care Unit,23,3,20,0.869565217,2023-11-09
2020-10-24,0.024013722,Metro,Adult Intensive Care Unit,583,14,569,0.975986278,2023-11-09
2022-02-20,0.090510949,Northeast,Medical and Surgical,685,62,623,0.909489051,2023-11-09
2021-08-16,0,Central,Pediatric Intensive Care Unit,5,0,5,1,2023-11-09
2021-11-29,0.142857143,Southwest,Adult Intensive Care Unit,21,3,18,0.857142857,2023-11-09
2020-09-13,0.178571429,Central,Pediatrics,28,5,23,0.821428571,2023-11-09
2020-10-04,0.7,West Central,Adult Intensive Care Unit,20,14,6,0.3,2023-11-09
2022-10-14,0.285714286,Northeast,Pediatric Intensive Care Unit,7,2,5,0.714285714,2023-11-09
2022-07-31,0.049665712,Southeast,Medical and Surgical,1047,52,995,0.950334288,2023-11-09
2021-11-03,0.043478261,South Central,Adult Intensive Care Unit,23,1,22,0.956521739,2023-11-09
2023-03-28,0.137931034,Central,Pediatrics,29,4,25,0.862068966,2023-11-09
2023-10-29,0.327868852,West Central,Medical and Surgical,183,60,123,0.672131148,2023-11-09
2020-12-08,0.073684211,Northeast,Adult Intensive Care Unit,95,7,88,0.926315789,2023-11-09
2020-11-12,0.042105263,Northeast,Adult Intensive Care Unit,95,4,91,0.957894737,2023-11-09
2022-03-30,0.13592233,Central,Adult Intensive Care Unit,103,14,89,0.86407767,2023-11-09
2022-11-02,0.142857143,Northeast,Pediatric Intensive Care Unit,7,1,6,0.857142857,2023-11-09
2023-08-11,0.068965517,Central,Pediatrics,29,2,27,0.931034483,2023-11-09
2022-09-25,0,Northeast,Pediatric Intensive Care Unit,7,0,7,1,2023-11-09
2022-12-14,0.333333333,Southwest,Adult Intensive Care Unit,18,6,12,0.666666667,2023-11-09
2023-02-06,0.045614035,Metro,Pediatrics,285,13,272,0.954385965,2023-11-09
2022-11-26,0.15625,South Central,Adult Intensive Care Unit,32,5,27,0.84375,2023-11-09
2020-11-25,0.042105263,Northeast,Adult Intensive Care Unit,95,4,91,0.957894737,2023-11-09
2022-12-22,0.1875,South Central,Adult Intensive Care Unit,32,6,26,0.8125,2023-11-09
2023-03-18,0.114942529,Northeast,Medical and Surgical,696,80,616,0.885057471,2023-11-09
2022-07-24,0.079545455,Northeast,Adult Intensive Care Unit,88,7,81,0.920454545,2023-11-09
2020-10-26,0.157894737,Northeast,Adult Intensive Care Unit,95,15,80,0.842105263,2023-11-09
2022-07-26,0.275862069,Southwest,Medical and Surgical,319,88,231,0.724137931,2023-11-09
2021-12-29,0.285714286,Southwest,Adult Intensive Care Unit,21,6,15,0.714285714,2023-11-09
2021-11-18,0.170731707,South Central,Medical and Surgical,369,63,306,0.829268293,2023-11-09
2023-05-09,0,Central,Pediatric Intensive Care Unit,4,0,4,1,2023-11-09
2023-10-10,0.05,Northwest,Pediatrics,20,1,19,0.95,2023-11-09
2023-01-21,0.333333333,Southwest,Adult Intensive Care Unit,18,6,12,0.666666667,2023-11-09
2021-03-02,0.274509804,Central,Adult Intensive Care Unit,102,28,74,0.725490196,2023-11-09
2021-11-16,0.19047619,Southwest,Adult Intensive Care Unit,21,4,17,0.80952381,2023-11-09
2020-12-28,0.857142857,Northeast,Pediatric Intensive Care Unit,7,6,1,0.142857143,2023-11-09
2022-08-31,0.034090909,Northeast,Adult Intensive Care Unit,88,3,85,0.965909091,2023-11-09
2021-12-26,0,South Central,Adult Intensive Care Unit,23,0,23,1,2023-11-09
2022-09-13,0.136363636,Northeast,Adult Intensive Care Unit,88,12,76,0.863636364,2023-11-09
2021-09-10,0.298342541,Southwest,Medical and Surgical,362,108,254,0.701657459,2023-11-09
2021-10-19,0,South Central,Pediatrics,8,0,8,1,2023-11-09
2023-08-26,0.027504912,Metro,Adult Intensive Care Unit,509,14,495,0.972495088,2023-11-09
2022-11-22,0.09375,South Central,Adult Intensive Care Unit,32,3,29,0.90625,2023-11-09
2021-09-03,0.166666667,Southwest,Pediatrics,12,2,10,0.833333333,2023-11-09
2023-01-14,0.09375,South Central,Adult Intensive Care Unit,32,3,29,0.90625,2023-11-09
2020-12-12,0.052631579,Northeast,Adult Intensive Care Unit,95,5,90,0.947368421,2023-11-09
2021-11-22,0.130434783,South Central,Adult Intensive Care Unit,23,3,20,0.869565217,2023-11-09
2021-08-27,0.380952381,Northeast,Pediatrics,42,16,26,0.619047619,2023-11-09
