year,week,age_group,new_hosp,mmwr_startdate,mmwr_enddate,pop_size,new_hosp_percap,outcome,report_date
2020,12,18-49,11,2020-03-15,2020-03-21,2294817,0.479,hospitalization,2023-11-16
2020,12,5-11,0,2020-03-15,2020-03-21,509735,0,hospitalization,2023-11-16
2020,12,50-64,8,2020-03-15,2020-03-21,1114015,0.718,hospitalization,2023-11-16
2020,12,65-74,4,2020-03-15,2020-03-21,490739,0.815,hospitalization,2023-11-16
2020,12,75-84,3,2020-03-15,2020-03-21,252053,1.19,hospitalization,2023-11-16
2020,12,85+,5,2020-03-15,2020-03-21,115906,4.314,hospitalization,2023-11-16
2020,12,Total,31,2020-03-15,2020-03-21,5562663,0.557,hospitalization,2023-11-16
2020,13,0-4,0,2020-03-22,2020-03-28,351664,0,hospitalization,2023-11-16
2020,13,12-17,0,2020-03-22,2020-03-28,433734,0,hospitalization,2023-11-16
2020,13,18-49,18,2020-03-22,2020-03-28,2294817,0.784,hospitalization,2023-11-16
2020,13,5-11,1,2020-03-22,2020-03-28,509735,0.196,hospitalization,2023-11-16
2020,13,50-64,28,2020-03-22,2020-03-28,1114015,2.513,hospitalization,2023-11-16
2020,13,65-74,22,2020-03-22,2020-03-28,490739,4.483,hospitalization,2023-11-16
2020,13,75-84,14,2020-03-22,2020-03-28,252053,5.554,hospitalization,2023-11-16
2020,13,85+,14,2020-03-22,2020-03-28,115906,12.079,hospitalization,2023-11-16
2020,13,Total,97,2020-03-22,2020-03-28,5562663,1.744,hospitalization,2023-11-16
2020,14,0-4,0,2020-03-29,2020-04-04,351664,0,hospitalization,2023-11-16
2020,14,12-17,1,2020-03-29,2020-04-04,433734,0.231,hospitalization,2023-11-16
2020,14,18-49,29,2020-03-29,2020-04-04,2294817,1.264,hospitalization,2023-11-16
2020,14,5-11,0,2020-03-29,2020-04-04,509735,0,hospitalization,2023-11-16
2020,14,50-64,37,2020-03-29,2020-04-04,1114015,3.321,hospitalization,2023-11-16
2020,14,65-74,27,2020-03-29,2020-04-04,490739,5.502,hospitalization,2023-11-16
2020,14,75-84,13,2020-03-29,2020-04-04,252053,5.158,hospitalization,2023-11-16
2020,14,85+,15,2020-03-29,2020-04-04,115906,12.942,hospitalization,2023-11-16
2020,14,Total,122,2020-03-29,2020-04-04,5562663,2.193,hospitalization,2023-11-16
2020,15,0-4,0,2020-04-05,2020-04-11,351664,0,hospitalization,2023-11-16
2020,15,12-17,0,2020-04-05,2020-04-11,433734,0,hospitalization,2023-11-16
2020,15,18-49,26,2020-04-05,2020-04-11,2294817,1.133,hospitalization,2023-11-16
2020,15,5-11,0,2020-04-05,2020-04-11,509735,0,hospitalization,2023-11-16
2020,15,50-64,49,2020-04-05,2020-04-11,1114015,4.399,hospitalization,2023-11-16
2020,15,65-74,31,2020-04-05,2020-04-11,490739,6.317,hospitalization,2023-11-16
2020,15,75-84,34,2020-04-05,2020-04-11,252053,13.489,hospitalization,2023-11-16
2020,15,85+,21,2020-04-05,2020-04-11,115906,18.118,hospitalization,2023-11-16
2020,15,Total,161,2020-04-05,2020-04-11,5562663,2.894,hospitalization,2023-11-16
2020,16,0-4,1,2020-04-12,2020-04-18,351664,0.284,hospitalization,2023-11-16
2020,16,12-17,0,2020-04-12,2020-04-18,433734,0,hospitalization,2023-11-16
2020,16,18-49,52,2020-04-12,2020-04-18,2294817,2.266,hospitalization,2023-11-16
2020,16,5-11,1,2020-04-12,2020-04-18,509735,0.196,hospitalization,2023-11-16
2020,16,50-64,66,2020-04-12,2020-04-18,1114015,5.925,hospitalization,2023-11-16
2020,16,65-74,46,2020-04-12,2020-04-18,490739,9.374,hospitalization,2023-11-16
2020,16,75-84,37,2020-04-12,2020-04-18,252053,14.679,hospitalization,2023-11-16
2020,16,85+,27,2020-04-12,2020-04-18,115906,23.295,hospitalization,2023-11-16
2020,16,Total,230,2020-04-12,2020-04-18,5562663,4.135,hospitalization,2023-11-16
2020,17,0-4,0,2020-04-19,2020-04-25,351664,0,hospitalization,2023-11-16
2020,17,12-17,1,2020-04-19,2020-04-25,433734,0.231,hospitalization,2023-11-16
2020,17,18-49,74,2020-04-19,2020-04-25,2294817,3.225,hospitalization,2023-11-16
2020,17,5-11,0,2020-04-19,2020-04-25,509735,0,hospitalization,2023-11-16
2020,17,50-64,84,2020-04-19,2020-04-25,1114015,7.54,hospitalization,2023-11-16
2020,17,65-74,54,2020-04-19,2020-04-25,490739,11.004,hospitalization,2023-11-16
2020,17,75-84,37,2020-04-19,2020-04-25,252053,14.679,hospitalization,2023-11-16
2020,17,85+,37,2020-04-19,2020-04-25,115906,31.922,hospitalization,2023-11-16
2020,17,Total,287,2020-04-19,2020-04-25,5562663,5.159,hospitalization,2023-11-16
2020,18,0-4,1,2020-04-26,2020-05-02,351664,0.284,hospitalization,2023-11-16
2020,18,12-17,1,2020-04-26,2020-05-02,433734,0.231,hospitalization,2023-11-16
2020,18,18-49,126,2020-04-26,2020-05-02,2294817,5.491,hospitalization,2023-11-16
2020,18,5-11,0,2020-04-26,2020-05-02,509735,0,hospitalization,2023-11-16
2020,18,50-64,137,2020-04-26,2020-05-02,1114015,12.298,hospitalization,2023-11-16
2020,18,65-74,63,2020-04-26,2020-05-02,490739,12.838,hospitalization,2023-11-16
2020,18,75-84,51,2020-04-26,2020-05-02,252053,20.234,hospitalization,2023-11-16
2020,18,85+,34,2020-04-26,2020-05-02,115906,29.334,hospitalization,2023-11-16
2020,18,Total,413,2020-04-26,2020-05-02,5562663,7.425,hospitalization,2023-11-16
2020,19,0-4,1,2020-05-03,2020-05-09,351664,0.284,hospitalization,2023-11-16
2020,19,12-17,2,2020-05-03,2020-05-09,433734,0.461,hospitalization,2023-11-16
2020,19,18-49,120,2020-05-03,2020-05-09,2294817,5.229,hospitalization,2023-11-16
2020,19,5-11,2,2020-05-03,2020-05-09,509735,0.392,hospitalization,2023-11-16
2020,19,50-64,147,2020-05-03,2020-05-09,1114015,13.196,hospitalization,2023-11-16
2020,19,65-74,75,2020-05-03,2020-05-09,490739,15.283,hospitalization,2023-11-16
2020,19,75-84,60,2020-05-03,2020-05-09,252053,23.805,hospitalization,2023-11-16
2020,19,85+,34,2020-05-03,2020-05-09,115906,29.334,hospitalization,2023-11-16
2020,19,Total,441,2020-05-03,2020-05-09,5562663,7.928,hospitalization,2023-11-16
2020,20,0-4,1,2020-05-10,2020-05-16,351664,0.284,hospitalization,2023-11-16
2020,20,12-17,5,2020-05-10,2020-05-16,433734,1.153,hospitalization,2023-11-16
2020,20,18-49,115,2020-05-10,2020-05-16,2294817,5.011,hospitalization,2023-11-16
2020,20,5-11,0,2020-05-10,2020-05-16,509735,0,hospitalization,2023-11-16
2020,20,50-64,119,2020-05-10,2020-05-16,1114015,10.682,hospitalization,2023-11-16
2020,20,65-74,88,2020-05-10,2020-05-16,490739,17.932,hospitalization,2023-11-16
2020,20,75-84,63,2020-05-10,2020-05-16,252053,24.995,hospitalization,2023-11-16
2020,20,85+,53,2020-05-10,2020-05-16,115906,45.727,hospitalization,2023-11-16
2020,20,Total,444,2020-05-10,2020-05-16,5562663,7.982,hospitalization,2023-11-16
2020,21,0-4,8,2020-05-17,2020-05-23,351664,2.275,hospitalization,2023-11-16
2020,21,12-17,5,2020-05-17,2020-05-23,433734,1.153,hospitalization,2023-11-16
2020,21,18-49,164,2020-05-17,2020-05-23,2294817,7.147,hospitalization,2023-11-16
2020,21,5-11,2,2020-05-17,2020-05-23,509735,0.392,hospitalization,2023-11-16
2020,21,50-64,117,2020-05-17,2020-05-23,1114015,10.503,hospitalization,2023-11-16
2020,21,65-74,90,2020-05-17,2020-05-23,490739,18.34,hospitalization,2023-11-16
2020,21,75-84,80,2020-05-17,2020-05-23,252053,31.739,hospitalization,2023-11-16
2020,21,85+,46,2020-05-17,2020-05-23,115906,39.687,hospitalization,2023-11-16
2020,21,Total,512,2020-05-17,2020-05-23,5562663,9.204,hospitalization,2023-11-16
2020,22,0-4,2,2020-05-24,2020-05-30,351664,0.569,hospitalization,2023-11-16
2020,22,12-17,5,2020-05-24,2020-05-30,433734,1.153,hospitalization,2023-11-16
2020,22,18-49,136,2020-05-24,2020-05-30,2294817,5.926,hospitalization,2023-11-16
2020,22,5-11,3,2020-05-24,2020-05-30,509735,0.589,hospitalization,2023-11-16
2020,22,50-64,113,2020-05-24,2020-05-30,1114015,10.143,hospitalization,2023-11-16
2020,22,65-74,56,2020-05-24,2020-05-30,490739,11.411,hospitalization,2023-11-16
2020,22,75-84,54,2020-05-24,2020-05-30,252053,21.424,hospitalization,2023-11-16
2020,22,85+,34,2020-05-24,2020-05-30,115906,29.334,hospitalization,2023-11-16
2020,22,Total,403,2020-05-24,2020-05-30,5562663,7.245,hospitalization,2023-11-16
2020,23,0-4,6,2020-05-31,2020-06-06,351664,1.706,hospitalization,2023-11-16
2020,23,12-17,2,2020-05-31,2020-06-06,433734,0.461,hospitalization,2023-11-16
2020,23,18-49,87,2020-05-31,2020-06-06,2294817,3.791,hospitalization,2023-11-16
2020,23,5-11,1,2020-05-31,2020-06-06,509735,0.196,hospitalization,2023-11-16
2020,23,50-64,81,2020-05-31,2020-06-06,1114015,7.271,hospitalization,2023-11-16
2020,23,65-74,40,2020-05-31,2020-06-06,490739,8.151,hospitalization,2023-11-16
2020,23,75-84,37,2020-05-31,2020-06-06,252053,14.679,hospitalization,2023-11-16
2020,23,85+,32,2020-05-31,2020-06-06,115906,27.609,hospitalization,2023-11-16
2020,23,Total,286,2020-05-31,2020-06-06,5562663,5.141,hospitalization,2023-11-16
2020,24,0-4,6,2020-06-07,2020-06-13,351664,1.706,hospitalization,2023-11-16
2020,24,12-17,7,2020-06-07,2020-06-13,433734,1.614,hospitalization,2023-11-16
2020,24,18-49,86,2020-06-07,2020-06-13,2294817,3.748,hospitalization,2023-11-16
2020,24,5-11,4,2020-06-07,2020-06-13,509735,0.785,hospitalization,2023-11-16
2020,24,50-64,59,2020-06-07,2020-06-13,1114015,5.296,hospitalization,2023-11-16
2020,24,65-74,35,2020-06-07,2020-06-13,490739,7.132,hospitalization,2023-11-16
2020,24,75-84,22,2020-06-07,2020-06-13,252053,8.728,hospitalization,2023-11-16
2020,24,85+,12,2020-06-07,2020-06-13,115906,10.353,hospitalization,2023-11-16
2020,24,Total,231,2020-06-07,2020-06-13,5562663,4.153,hospitalization,2023-11-16
2020,25,0-4,4,2020-06-14,2020-06-20,351664,1.137,hospitalization,2023-11-16
2020,25,12-17,6,2020-06-14,2020-06-20,433734,1.383,hospitalization,2023-11-16
2020,25,18-49,62,2020-06-14,2020-06-20,2294817,2.702,hospitalization,2023-11-16
2020,25,5-11,1,2020-06-14,2020-06-20,509735,0.196,hospitalization,2023-11-16
2020,25,50-64,62,2020-06-14,2020-06-20,1114015,5.565,hospitalization,2023-11-16
2020,25,65-74,37,2020-06-14,2020-06-20,490739,7.54,hospitalization,2023-11-16
2020,25,75-84,18,2020-06-14,2020-06-20,252053,7.141,hospitalization,2023-11-16
2020,25,85+,16,2020-06-14,2020-06-20,115906,13.804,hospitalization,2023-11-16
2020,25,Total,206,2020-06-14,2020-06-20,5562663,3.703,hospitalization,2023-11-16
2020,26,0-4,1,2020-06-21,2020-06-27,351664,0.284,hospitalization,2023-11-16
2020,26,12-17,1,2020-06-21,2020-06-27,433734,0.231,hospitalization,2023-11-16
2020,26,18-49,82,2020-06-21,2020-06-27,2294817,3.573,hospitalization,2023-11-16
2020,26,5-11,1,2020-06-21,2020-06-27,509735,0.196,hospitalization,2023-11-16
2020,26,50-64,52,2020-06-21,2020-06-27,1114015,4.668,hospitalization,2023-11-16
2020,26,65-74,19,2020-06-21,2020-06-27,490739,3.872,hospitalization,2023-11-16
2020,26,75-84,20,2020-06-21,2020-06-27,252053,7.935,hospitalization,2023-11-16
2020,26,85+,16,2020-06-21,2020-06-27,115906,13.804,hospitalization,2023-11-16
2020,26,Total,192,2020-06-21,2020-06-27,5562663,3.452,hospitalization,2023-11-16
2020,27,0-4,0,2020-06-28,2020-07-04,351664,0,hospitalization,2023-11-16
2020,27,12-17,5,2020-06-28,2020-07-04,433734,1.153,hospitalization,2023-11-16
2020,27,18-49,71,2020-06-28,2020-07-04,2294817,3.094,hospitalization,2023-11-16
2020,27,5-11,0,2020-06-28,2020-07-04,509735,0,hospitalization,2023-11-16
2020,27,50-64,49,2020-06-28,2020-07-04,1114015,4.399,hospitalization,2023-11-16
2020,27,65-74,26,2020-06-28,2020-07-04,490739,5.298,hospitalization,2023-11-16
2020,27,75-84,30,2020-06-28,2020-07-04,252053,11.902,hospitalization,2023-11-16
2020,27,85+,14,2020-06-28,2020-07-04,115906,12.079,hospitalization,2023-11-16
2020,27,Total,195,2020-06-28,2020-07-04,5562663,3.506,hospitalization,2023-11-16
2020,28,0-4,2,2020-07-05,2020-07-11,351664,0.569,hospitalization,2023-11-16
2020,28,12-17,2,2020-07-05,2020-07-11,433734,0.461,hospitalization,2023-11-16
2020,28,18-49,79,2020-07-05,2020-07-11,2294817,3.443,hospitalization,2023-11-16
2020,28,5-11,1,2020-07-05,2020-07-11,509735,0.196,hospitalization,2023-11-16
2020,28,50-64,56,2020-07-05,2020-07-11,1114015,5.027,hospitalization,2023-11-16
2020,28,65-74,41,2020-07-05,2020-07-11,490739,8.355,hospitalization,2023-11-16
2020,28,75-84,30,2020-07-05,2020-07-11,252053,11.902,hospitalization,2023-11-16
2020,28,85+,9,2020-07-05,2020-07-11,115906,7.765,hospitalization,2023-11-16
2020,28,Total,220,2020-07-05,2020-07-11,5562663,3.955,hospitalization,2023-11-16
2020,29,0-4,4,2020-07-12,2020-07-18,351664,1.137,hospitalization,2023-11-16
2020,29,12-17,2,2020-07-12,2020-07-18,433734,0.461,hospitalization,2023-11-16
2020,29,18-49,105,2020-07-12,2020-07-18,2294817,4.576,hospitalization,2023-11-16
2020,29,5-11,0,2020-07-12,2020-07-18,509735,0,hospitalization,2023-11-16
2020,29,50-64,68,2020-07-12,2020-07-18,1114015,6.104,hospitalization,2023-11-16
2020,29,65-74,33,2020-07-12,2020-07-18,490739,6.725,hospitalization,2023-11-16
2020,29,75-84,39,2020-07-12,2020-07-18,252053,15.473,hospitalization,2023-11-16
2020,29,85+,17,2020-07-12,2020-07-18,115906,14.667,hospitalization,2023-11-16
2020,29,Total,268,2020-07-12,2020-07-18,5562663,4.818,hospitalization,2023-11-16
2020,30,0-4,11,2020-07-19,2020-07-25,351664,3.128,hospitalization,2023-11-16
2020,30,12-17,6,2020-07-19,2020-07-25,433734,1.383,hospitalization,2023-11-16
2020,30,18-49,109,2020-07-19,2020-07-25,2294817,4.75,hospitalization,2023-11-16
2020,30,5-11,3,2020-07-19,2020-07-25,509735,0.589,hospitalization,2023-11-16
2020,30,50-64,66,2020-07-19,2020-07-25,1114015,5.925,hospitalization,2023-11-16
2020,30,65-74,46,2020-07-19,2020-07-25,490739,9.374,hospitalization,2023-11-16
2020,30,75-84,27,2020-07-19,2020-07-25,252053,10.712,hospitalization,2023-11-16
2020,30,85+,19,2020-07-19,2020-07-25,115906,16.393,hospitalization,2023-11-16
2020,30,Total,287,2020-07-19,2020-07-25,5562663,5.159,hospitalization,2023-11-16
2020,31,0-4,7,2020-07-26,2020-08-01,351664,1.991,hospitalization,2023-11-16
2020,31,12-17,4,2020-07-26,2020-08-01,433734,0.922,hospitalization,2023-11-16
2020,31,18-49,96,2020-07-26,2020-08-01,2294817,4.183,hospitalization,2023-11-16
2020,31,5-11,3,2020-07-26,2020-08-01,509735,0.589,hospitalization,2023-11-16
2020,31,50-64,79,2020-07-26,2020-08-01,1114015,7.091,hospitalization,2023-11-16
2020,31,65-74,57,2020-07-26,2020-08-01,490739,11.615,hospitalization,2023-11-16
2020,31,75-84,39,2020-07-26,2020-08-01,252053,15.473,hospitalization,2023-11-16
2020,31,85+,20,2020-07-26,2020-08-01,115906,17.255,hospitalization,2023-11-16
2020,31,Total,305,2020-07-26,2020-08-01,5562663,5.483,hospitalization,2023-11-16
2020,32,0-4,3,2020-08-02,2020-08-08,351664,0.853,hospitalization,2023-11-16
2020,32,12-17,2,2020-08-02,2020-08-08,433734,0.461,hospitalization,2023-11-16
2020,32,18-49,96,2020-08-02,2020-08-08,2294817,4.183,hospitalization,2023-11-16
2020,32,5-11,2,2020-08-02,2020-08-08,509735,0.392,hospitalization,2023-11-16
2020,32,50-64,85,2020-08-02,2020-08-08,1114015,7.63,hospitalization,2023-11-16
2020,32,65-74,49,2020-08-02,2020-08-08,490739,9.985,hospitalization,2023-11-16
2020,32,75-84,46,2020-08-02,2020-08-08,252053,18.25,hospitalization,2023-11-16
2020,32,85+,28,2020-08-02,2020-08-08,115906,24.158,hospitalization,2023-11-16
2020,32,Total,311,2020-08-02,2020-08-08,5562663,5.591,hospitalization,2023-11-16
2020,33,0-4,2,2020-08-09,2020-08-15,351664,0.569,hospitalization,2023-11-16
2020,33,12-17,3,2020-08-09,2020-08-15,433734,0.692,hospitalization,2023-11-16
2020,33,18-49,75,2020-08-09,2020-08-15,2294817,3.268,hospitalization,2023-11-16
2020,33,5-11,3,2020-08-09,2020-08-15,509735,0.589,hospitalization,2023-11-16
2020,33,50-64,85,2020-08-09,2020-08-15,1114015,7.63,hospitalization,2023-11-16
2020,33,65-74,51,2020-08-09,2020-08-15,490739,10.392,hospitalization,2023-11-16
2020,33,75-84,46,2020-08-09,2020-08-15,252053,18.25,hospitalization,2023-11-16
2020,33,85+,36,2020-08-09,2020-08-15,115906,31.06,hospitalization,2023-11-16
2020,33,Total,301,2020-08-09,2020-08-15,5562663,5.411,hospitalization,2023-11-16
2020,34,0-4,5,2020-08-16,2020-08-22,351664,1.422,hospitalization,2023-11-16
2020,34,12-17,4,2020-08-16,2020-08-22,433734,0.922,hospitalization,2023-11-16
2020,34,18-49,91,2020-08-16,2020-08-22,2294817,3.965,hospitalization,2023-11-16
2020,34,5-11,1,2020-08-16,2020-08-22,509735,0.196,hospitalization,2023-11-16
2020,34,50-64,69,2020-08-16,2020-08-22,1114015,6.194,hospitalization,2023-11-16
2020,34,65-74,50,2020-08-16,2020-08-22,490739,10.189,hospitalization,2023-11-16
2020,34,75-84,56,2020-08-16,2020-08-22,252053,22.218,hospitalization,2023-11-16
2020,34,85+,29,2020-08-16,2020-08-22,115906,25.02,hospitalization,2023-11-16
2020,34,Total,305,2020-08-16,2020-08-22,5562663,5.483,hospitalization,2023-11-16
2020,35,0-4,2,2020-08-23,2020-08-29,351664,0.569,hospitalization,2023-11-16
2020,35,12-17,5,2020-08-23,2020-08-29,433734,1.153,hospitalization,2023-11-16
2020,35,18-49,98,2020-08-23,2020-08-29,2294817,4.27,hospitalization,2023-11-16
2020,35,5-11,0,2020-08-23,2020-08-29,509735,0,hospitalization,2023-11-16
2020,35,50-64,57,2020-08-23,2020-08-29,1114015,5.117,hospitalization,2023-11-16
2020,35,65-74,55,2020-08-23,2020-08-29,490739,11.208,hospitalization,2023-11-16
2020,35,75-84,47,2020-08-23,2020-08-29,252053,18.647,hospitalization,2023-11-16
2020,35,85+,30,2020-08-23,2020-08-29,115906,25.883,hospitalization,2023-11-16
2020,35,Total,294,2020-08-23,2020-08-29,5562663,5.285,hospitalization,2023-11-16
2020,36,0-4,1,2020-08-30,2020-09-05,351664,0.284,hospitalization,2023-11-16
2020,36,12-17,4,2020-08-30,2020-09-05,433734,0.922,hospitalization,2023-11-16
2020,36,18-49,71,2020-08-30,2020-09-05,2294817,3.094,hospitalization,2023-11-16
2020,36,5-11,2,2020-08-30,2020-09-05,509735,0.392,hospitalization,2023-11-16
2020,36,50-64,74,2020-08-30,2020-09-05,1114015,6.643,hospitalization,2023-11-16
2020,36,65-74,43,2020-08-30,2020-09-05,490739,8.762,hospitalization,2023-11-16
2020,36,75-84,35,2020-08-30,2020-09-05,252053,13.886,hospitalization,2023-11-16
2020,36,85+,22,2020-08-30,2020-09-05,115906,18.981,hospitalization,2023-11-16
2020,36,Total,252,2020-08-30,2020-09-05,5562663,4.53,hospitalization,2023-11-16
2020,37,0-4,2,2020-09-06,2020-09-12,351664,0.569,hospitalization,2023-11-16
2020,37,12-17,2,2020-09-06,2020-09-12,433734,0.461,hospitalization,2023-11-16
2020,37,18-49,57,2020-09-06,2020-09-12,2294817,2.484,hospitalization,2023-11-16
2020,37,5-11,2,2020-09-06,2020-09-12,509735,0.392,hospitalization,2023-11-16
2020,37,50-64,56,2020-09-06,2020-09-12,1114015,5.027,hospitalization,2023-11-16
2020,37,65-74,31,2020-09-06,2020-09-12,490739,6.317,hospitalization,2023-11-16
2020,37,75-84,43,2020-09-06,2020-09-12,252053,17.06,hospitalization,2023-11-16
2020,37,85+,22,2020-09-06,2020-09-12,115906,18.981,hospitalization,2023-11-16
2020,37,Total,215,2020-09-06,2020-09-12,5562663,3.865,hospitalization,2023-11-16
2020,38,0-4,5,2020-09-13,2020-09-19,351664,1.422,hospitalization,2023-11-16
2020,38,12-17,3,2020-09-13,2020-09-19,433734,0.692,hospitalization,2023-11-16
2020,38,18-49,67,2020-09-13,2020-09-19,2294817,2.92,hospitalization,2023-11-16
2020,38,5-11,3,2020-09-13,2020-09-19,509735,0.589,hospitalization,2023-11-16
2020,38,50-64,66,2020-09-13,2020-09-19,1114015,5.925,hospitalization,2023-11-16
2020,38,65-74,52,2020-09-13,2020-09-19,490739,10.596,hospitalization,2023-11-16
2020,38,75-84,49,2020-09-13,2020-09-19,252053,19.44,hospitalization,2023-11-16
2020,38,85+,29,2020-09-13,2020-09-19,115906,25.02,hospitalization,2023-11-16
2020,38,Total,274,2020-09-13,2020-09-19,5562663,4.926,hospitalization,2023-11-16
2020,39,0-4,0,2020-09-20,2020-09-26,351664,0,hospitalization,2023-11-16
2020,39,12-17,5,2020-09-20,2020-09-26,433734,1.153,hospitalization,2023-11-16
2020,39,18-49,105,2020-09-20,2020-09-26,2294817,4.576,hospitalization,2023-11-16
2020,39,5-11,0,2020-09-20,2020-09-26,509735,0,hospitalization,2023-11-16
2020,39,50-64,86,2020-09-20,2020-09-26,1114015,7.72,hospitalization,2023-11-16
2020,39,65-74,76,2020-09-20,2020-09-26,490739,15.487,hospitalization,2023-11-16
2020,39,75-84,90,2020-09-20,2020-09-26,252053,35.707,hospitalization,2023-11-16
2020,39,85+,49,2020-09-20,2020-09-26,115906,42.276,hospitalization,2023-11-16
2020,39,Total,411,2020-09-20,2020-09-26,5562663,7.389,hospitalization,2023-11-16
2020,40,0-4,4,2020-09-27,2020-10-03,351664,1.137,hospitalization,2023-11-16
2020,40,12-17,4,2020-09-27,2020-10-03,433734,0.922,hospitalization,2023-11-16
2020,40,18-49,96,2020-09-27,2020-10-03,2294817,4.183,hospitalization,2023-11-16
2020,40,5-11,2,2020-09-27,2020-10-03,509735,0.392,hospitalization,2023-11-16
2020,40,50-64,81,2020-09-27,2020-10-03,1114015,7.271,hospitalization,2023-11-16
2020,40,65-74,74,2020-09-27,2020-10-03,490739,15.079,hospitalization,2023-11-16
2020,40,75-84,75,2020-09-27,2020-10-03,252053,29.756,hospitalization,2023-11-16
2020,40,85+,48,2020-09-27,2020-10-03,115906,41.413,hospitalization,2023-11-16
2020,40,Total,384,2020-09-27,2020-10-03,5562663,6.903,hospitalization,2023-11-16
2020,41,0-4,2,2020-10-04,2020-10-10,351664,0.569,hospitalization,2023-11-16
2020,41,12-17,4,2020-10-04,2020-10-10,433734,0.922,hospitalization,2023-11-16
2020,41,18-49,105,2020-10-04,2020-10-10,2294817,4.576,hospitalization,2023-11-16
2020,41,5-11,4,2020-10-04,2020-10-10,509735,0.785,hospitalization,2023-11-16
2020,41,50-64,111,2020-10-04,2020-10-10,1114015,9.964,hospitalization,2023-11-16
2020,41,65-74,116,2020-10-04,2020-10-10,490739,23.638,hospitalization,2023-11-16
2020,41,75-84,94,2020-10-04,2020-10-10,252053,37.294,hospitalization,2023-11-16
2020,41,85+,73,2020-10-04,2020-10-10,115906,62.982,hospitalization,2023-11-16
2020,41,Total,509,2020-10-04,2020-10-10,5562663,9.15,hospitalization,2023-11-16
2020,42,0-4,2,2020-10-11,2020-10-17,351664,0.569,hospitalization,2023-11-16
2020,42,12-17,8,2020-10-11,2020-10-17,433734,1.844,hospitalization,2023-11-16
2020,42,18-49,121,2020-10-11,2020-10-17,2294817,5.273,hospitalization,2023-11-16
2020,42,5-11,2,2020-10-11,2020-10-17,509735,0.392,hospitalization,2023-11-16
2020,42,50-64,142,2020-10-11,2020-10-17,1114015,12.747,hospitalization,2023-11-16
2020,42,65-74,125,2020-10-11,2020-10-17,490739,25.472,hospitalization,2023-11-16
2020,42,75-84,93,2020-10-11,2020-10-17,252053,36.897,hospitalization,2023-11-16
2020,42,85+,68,2020-10-11,2020-10-17,115906,58.668,hospitalization,2023-11-16
2020,42,Total,561,2020-10-11,2020-10-17,5562663,10.085,hospitalization,2023-11-16
2020,43,0-4,8,2020-10-18,2020-10-24,351664,2.275,hospitalization,2023-11-16
2020,43,12-17,8,2020-10-18,2020-10-24,433734,1.844,hospitalization,2023-11-16
2020,43,18-49,130,2020-10-18,2020-10-24,2294817,5.665,hospitalization,2023-11-16
2020,43,5-11,1,2020-10-18,2020-10-24,509735,0.196,hospitalization,2023-11-16
2020,43,50-64,177,2020-10-18,2020-10-24,1114015,15.888,hospitalization,2023-11-16
2020,43,65-74,141,2020-10-18,2020-10-24,490739,28.732,hospitalization,2023-11-16
2020,43,75-84,143,2020-10-18,2020-10-24,252053,56.734,hospitalization,2023-11-16
2020,43,85+,92,2020-10-18,2020-10-24,115906,79.375,hospitalization,2023-11-16
2020,43,Total,700,2020-10-18,2020-10-24,5562663,12.584,hospitalization,2023-11-16
2020,44,0-4,1,2020-10-25,2020-10-31,351664,0.284,hospitalization,2023-11-16
